"matricula","carrera","genero","promedio","edad","peso","altura"
1,"CIVIL","F",89.12,22,64.06,164.06
2,"BIOQUIMICA","M",81.94,20,80.09,180.09
3,"INDUSTRIAL","F",82.89,20,57.78,157.78
4,"SISTEMAS","M",81,20,76.73,176.73
5,"CIVIL","M",84.85,21,79.5,179.5
6,"ELECTRONICA","F",75.95,18,55.24,155.24
7,"TIC","F",82.33,20,58.22,158.22
8,"SISTEMAS","M",86.96,21,77.65,177.65
9,"MECANICA","F",88.6,22,61.16,161.16
10,"INFORMATICA","F",86.84,21,59.96,159.96
11,"INDUSTRIAL","M",89.49,22,76.59,176.59
12,"QUIMICA","M",85.36,21,77.57,177.57
13,"ADMINISTRACION","F",82.6,20,60.9,160.9
14,"INDUSTRIAL","F",86.32,21,59.76,159.76
15,"ELECTRONICA","M",85.82,21,82.33,182.33
16,"ELECTRICA","M",85.72,21,80.82,180.82
17,"ARQUITECTURA","F",83.73,20,61.78,161.78
18,"BIOQUIMICA","M",82.71,20,73.59,173.59
19,"ARQUITECTURA","F",89.53,22,62.81,162.81
20,"ADMINISTRACION","F",88.98,22,61.91,161.91
21,"MECATRONICA","M",87.26,21,81.45,181.45
22,"INDUSTRIAL","M",87.33,21,76.96,176.96
23,"QUIMICA","M",89.86,22,75.64,175.64
24,"TIC","F",90.2,22,60.67,160.67
25,"TIC","M",84.79,21,82.37,182.37
26,"TIC","F",83.02,20,59,159
27,"ELECTRONICA","F",88.25,22,61.58,161.58
28,"INDUSTRIAL","M",87.14,21,80.29,180.29
29,"ELECTRONICA","M",84.21,20,75.42,175.42
30,"ELECTRICA","F",85.17,21,58.91,158.91
31,"SISTEMAS","M",86.41,21,78.18,178.18
32,"TIC","F",88.88,22,58.7,158.7
33,"SISTEMAS","F",80.6,19,57.55,157.55
34,"CIVIL","F",85.24,21,59.95,159.95
35,"INFORMATICA","M",83.17,20,76.27,176.27
36,"BIOQUIMICA","M",89.73,22,76.41,176.41
37,"CIVIL","F",89.74,22,54.41,154.41
38,"QUIMICA","M",86.49,21,83.03,183.03
39,"ADMINISTRACION","M",86.54,21,80.58,180.58
40,"ADMINISTRACION","F",85.42,21,61.63,161.63
41,"INFORMATICA","M",85.07,21,83.03,183.03
42,"QUIMICA","F",88.8,22,59.61,159.61
43,"MECATRONICA","F",82.1,20,61.99,161.99
44,"INDUSTRIAL","F",81.04,20,56.95,156.95
45,"ARQUITECTURA","M",86.21,21,76.35,176.35
46,"BIOQUIMICA","F",83.25,20,61.73,161.73
47,"INFORMATICA","M",87.18,21,77.18,177.18
48,"ARQUITECTURA","F",85.1,21,60.58,160.58
49,"BIOQUIMICA","F",81.48,20,61.39,161.39
50,"ELECTRICA","F",87.28,21,62.07,162.07
51,"TIC","M",91.87,23,74.92,174.92
52,"ADMINISTRACION","F",89.45,22,58.66,158.66
53,"MECANICA","M",86.65,21,76.73,176.73
54,"MECANICA","M",90.29,22,81.42,181.42
55,"INFORMATICA","F",87.07,21,61.44,161.44
56,"BIOQUIMICA","M",88.2,22,83.38,183.38
57,"CIVIL","M",86.08,21,77.63,177.63
58,"INDUSTRIAL","M",90.08,22,77.64,177.64
59,"MECATRONICA","M",84.43,21,76.56,176.56
60,"INFORMATICA","F",87.44,21,60.72,160.72
