"d_codigo","d_asenta","D_mnpio","d_ciudad","d_estado","CIUDADASENTA"
34000,"Victoria de Durango Centro","Durango","Victoria de Durango","Durango","Victoria de Durango,Centro"
34000,"Dionisio Gallardo","Durango","Victoria de Durango","Durango","Victoria de Durango,Dionisio Gallardo"
34000,"Luis Gómez Zepeda","Durango","Victoria de Durango","Durango","Victoria de Durango,Luis Gómez Zepeda"
34000,"Rinconada Mascareñas","Durango","Victoria de Durango","Durango","Victoria de Durango,Rinconada Mascareñas"
34000,"Herrera Leyva","Durango","Victoria de Durango","Durango","Victoria de Durango,Herrera Leyva"
34000,"Privada del Sahuaro","Durango","Victoria de Durango","Durango","Victoria de Durango,Privada del Sahuaro"
34010,"Héctor Mayagoitia Domínguez","Durango","Victoria de Durango","Durango","Victoria de Durango,Héctor Mayagoitia Domínguez"
34010,"José López Portillo","Durango","Victoria de Durango","Durango","Victoria de Durango,José López Portillo"
34010,"Morga","Durango","Victoria de Durango","Durango","Victoria de Durango,Morga"
34010,"Valentín Gómez Farias","Durango","Victoria de Durango","Durango","Victoria de Durango,Valentín Gómez Farias"
34010,"Minero Napoleón Gómez Sada","Durango","Victoria de Durango","Durango","Victoria de Durango,Minero Napoleón Gómez Sada"
34014,"Las Palmas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Palmas"
34014,"Juan Salazar","Durango","Victoria de Durango","Durango","Victoria de Durango,Juan Salazar"
34014,"Palma Alta","Durango","Victoria de Durango","Durango","Victoria de Durango,Palma Alta"
34014,"Paseo de la Pradera","Durango","Victoria de Durango","Durango","Victoria de Durango,Paseo de la Pradera"
34015,"Ampliación Héctor Mayagoitia Domínguez","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación Héctor Mayagoitia Domínguez"
34015,"Ladera del Pedregal","Durango","Victoria de Durango","Durango","Victoria de Durango,Ladera del Pedregal"
34016,"Ciudad San Isidro","Durango","Victoria de Durango","Durango","Victoria de Durango,Ciudad San Isidro"
34016,"El Prado","Durango","Victoria de Durango","Durango","Victoria de Durango,El Prado"
34016,"Morelos Norte","Durango","Victoria de Durango","Durango","Victoria de Durango,Morelos Norte"
34016,"Amalia Solórzano","Durango","Victoria de Durango","Durango","Victoria de Durango,Amalia Solórzano"
34016,"Cesar Guillermo Meraz","Durango","Victoria de Durango","Durango","Victoria de Durango,Cesar Guillermo Meraz"
34017,"PRI","Durango","Victoria de Durango","Durango","Victoria de Durango,PRI"
34017,"Ampliación PRI","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación PRI"
34017,"Luz y Esperanza","Durango","Victoria de Durango","Durango","Victoria de Durango,Luz y Esperanza"
34018,"Ángel Tejada Espino","Durango","Victoria de Durango","Durango","Victoria de Durango,Ángel Tejada Espino"
34019,"Lázaro Cárdenas","Durango","Victoria de Durango","Durango","Victoria de Durango,Lázaro Cárdenas"
34020,"Benjamín Méndez","Durango","Victoria de Durango","Durango","Victoria de Durango,Benjamín Méndez"
34020,"Guadalupe","Durango","Victoria de Durango","Durango","Victoria de Durango,Guadalupe"
34020,"Rosas del Tepeyac","Durango","Victoria de Durango","Durango","Victoria de Durango,Rosas del Tepeyac"
34020,"Cuadra del Ferrocarril","Durango","Victoria de Durango","Durango","Victoria de Durango,Cuadra del Ferrocarril"
34020,"Cerro de Guadalupe","Durango","Victoria de Durango","Durango","Victoria de Durango,Cerro de Guadalupe"
34024,"Planta de Impregnación (Ferrocarrilera)","Durango","Victoria de Durango","Durango","Victoria de Durango,Planta de Impregnación (Ferrocarrilera)"
34027,"Recuerdos del Pasado","Durango","Victoria de Durango","Durango","Victoria de Durango,Recuerdos del Pasado"
34027,"Unidad Guadalupe","Durango","Victoria de Durango","Durango","Victoria de Durango,Unidad Guadalupe"
34028,"Sergio Méndez Arceo","Durango","Victoria de Durango","Durango","Victoria de Durango,Sergio Méndez Arceo"
34029,"Cerro del Mercado","Durango","Victoria de Durango","Durango","Victoria de Durango,Cerro del Mercado"
34029,"Ampliación Rosas del Tepeyac","Durango","Victoria de Durango","Durango","Victoria de Durango,Ampliación Rosas del Tepeyac"
34030,"16 de Septiembre","Durango","Victoria de Durango","Durango","Victoria de Durango,16 de Septiembre"
34030,"Acereros","Durango","Victoria de Durango","Durango","Victoria de Durango,Acereros"
34030,"San Ignacio","Durango","Victoria de Durango","Durango","Victoria de Durango,San Ignacio"
34030,"San Martín de Porres","Durango","Victoria de Durango","Durango","Victoria de Durango,San Martín de Porres"
34030,"El Ciprés (Cerro del Mercado)","Durango","Victoria de Durango","Durango","Victoria de Durango,El Ciprés (Cerro del Mercado)"
34030,"San Isidro","Durango","Victoria de Durango","Durango","Victoria de Durango,San Isidro"
34034,"Residencial los Arcos","Durango","","Durango",",Residencial los Arcos"
34034,"Fraccionamiento Campestre las Granjas Dos","Durango","","Durango",",Fraccionamiento Campestre las Granjas Dos"
34038,"Las Águilas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Águilas"
34038,"Cielo Vista","Durango","Victoria de Durango","Durango","Victoria de Durango,Cielo Vista"
34038,"Residencial la Rioja","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial la Rioja"
34038,"Residencial Puerta de Hierro","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Puerta de Hierro"
34038,"Residencial Plaza Alejandra","Durango","Victoria de Durango","Durango","Victoria de Durango,Residencial Plaza Alejandra"
34039,"Las Encinas","Durango","Victoria de Durango","Durango","Victoria de Durango,Las Encinas"
34039,"La Rielera","Durango","Victoria de Durango","Durango","Victoria de Durango,La Rielera"
34039,"Alejandra","Durango","Victoria de Durango","Durango","Victoria de Durango,Alejandra"
34039,"Vallesol","Durango","Victoria de Durango","Durango","Victoria de Durango,Vallesol"
34039,"Terrenos del Ferrocarril","Durango","Victoria de Durango","Durango","Victoria de Durango,Terrenos del Ferrocarril"
