"semestre","carrera","promedio"
"12","SISTEMAS",79.84
"13","SISTEMAS",82.55
"10","SISTEMAS",95.16
"13","SISTEMAS",79.32
"10","SISTEMAS",92.67
"10","SISTEMAS",91.25
"13","SISTEMAS",82.46
"11","SISTEMAS",83.72
"11","SISTEMAS",85.37
"10","SISTEMAS",85.12
"12","SISTEMAS",78.22
"10","SISTEMAS",91.25
"11","SISTEMAS",84.59
"10","SISTEMAS",89.16
"13","SISTEMAS",82.51
"12","SISTEMAS",81.58
"12","SISTEMAS",82.63
"12","SISTEMAS",87.18
"10","SISTEMAS",89.55
"9","SISTEMAS",86.27
"12","SISTEMAS",84.02
"10","SISTEMAS",82.23
"14","SISTEMAS",83.37
"10","SISTEMAS",92.67
"11","SISTEMAS",82.75
"10","SISTEMAS",95.94
"10","SISTEMAS",91.27
"10","SISTEMAS",89.33
"11","SISTEMAS",86.02
"10","SISTEMAS",83.45
"11","SISTEMAS",80.81
"11","SISTEMAS",78.33
"10","SISTEMAS",89.35
"10","SISTEMAS",83.76
"12","SISTEMAS",80.42
"10","SISTEMAS",94.43
"12","SISTEMAS",83.29
"10","SISTEMAS",87.72
"12","SISTEMAS",85.25
"10","SISTEMAS",93.16
"11","SISTEMAS",81.88
"11","SISTEMAS",80.86
"13","SISTEMAS",82.24
"10","SISTEMAS",87.78
"2","SISTEMAS",81.6
"2","SISTEMAS",84.83
"9","SISTEMAS",83.71
"4","SISTEMAS",90.44
"8","SISTEMAS",90.79
"9","SISTEMAS",89.08
"8","SISTEMAS",89.88
"2","SISTEMAS",94.33
"8","SISTEMAS",83.95
"2","SISTEMAS",86.67
"8","SISTEMAS",89.95
"4","SISTEMAS",89.67
"5","SISTEMAS",90.17
"5","SISTEMAS",86.88
"8","SISTEMAS",93.47
"6","SISTEMAS",88.97
"8","SISTEMAS",85.72
"9","SISTEMAS",84.67
"6","SISTEMAS",81.84
"3","SISTEMAS",88.42
"5","SISTEMAS",84.7
"3","SISTEMAS",93.42
"9","SISTEMAS",83.74
"4","SISTEMAS",89
"8","SISTEMAS",92.75
"2","SISTEMAS",78
"5","SISTEMAS",87.38
"5","SISTEMAS",85.04
"6","SISTEMAS",88.1
"2","SISTEMAS",83.4
"6","SISTEMAS",88.47
"6","SISTEMAS",81.48
"4","SISTEMAS",85.41
"8","SISTEMAS",93.5
"2","SISTEMAS",87
"4","SISTEMAS",89.06
"4","SISTEMAS",93.5
"4","SISTEMAS",88.63
"2","SISTEMAS",84.83
"5","SISTEMAS",84.94
"2","SISTEMAS",80
"2","SISTEMAS",95.5
"5","SISTEMAS",79.78
"9","SISTEMAS",85.74
"5","SISTEMAS",90.27
"4","SISTEMAS",81
"2","SISTEMAS",84.33
"2","SISTEMAS",89.67
"8","SISTEMAS",83.44
"6","SISTEMAS",85.63
"10","SISTEMAS",79.08
"9","SISTEMAS",89.16
"9","SISTEMAS",92.12
"8","SISTEMAS",93.77
"6","SISTEMAS",82
"8","SISTEMAS",92.42
"2","SISTEMAS",96.5
"2","SISTEMAS",90.33
"8","SISTEMAS",87.55
"8","SISTEMAS",84.44
"6","SISTEMAS",82.87
"6","SISTEMAS",83.52
"5","SISTEMAS",85.71
"3","SISTEMAS",80.86
"5","SISTEMAS",86.63
"2","SISTEMAS",98.67
"5","SISTEMAS",85.04
"2","SISTEMAS",92.83
"8","SISTEMAS",89.74
"2","SISTEMAS",89
"2","SISTEMAS",85.83
"9","SISTEMAS",82.82
"8","SISTEMAS",83.97
"3","SISTEMAS",82.09
"4","SISTEMAS",94
"8","SISTEMAS",89
"9","SISTEMAS",90.76
"8","SISTEMAS",91.93
"9","SISTEMAS",90.93
"9","SISTEMAS",83.07
"8","SISTEMAS",88.33
"8","SISTEMAS",91.65
"2","SISTEMAS",97.67
"2","SISTEMAS",94.83
"8","SISTEMAS",88.64
"9","SISTEMAS",85
"2","SISTEMAS",92
"4","SISTEMAS",88.67
"2","SISTEMAS",90.67
"9","SISTEMAS",92.58
"9","SISTEMAS",82.97
"5","SISTEMAS",85.33
"3","SISTEMAS",89.82
"8","SISTEMAS",88.51
"5","SISTEMAS",84.08
"6","SISTEMAS",93.59
"5","SISTEMAS",86.04
"4","SISTEMAS",86.13
"8","SISTEMAS",88.84
