"estatura","genero","entidad","edad"
150.6,2,10,54
154,2,10,48
161.6,2,10,43
152.5,2,10,33
153,2,10,36
NA,2,10,65
156.6,2,10,59
153.9,2,10,54
167.5,2,10,25
161.1,2,10,29
148.7,2,10,43
161.9,2,10,31
144,2,10,58
158.4,2,10,33
162.9,2,10,25
159.6,2,10,19
164,2,10,20
170.6,2,10,30
163.8,2,10,51
152.1,2,10,18
NA,2,10,62
NA,2,10,60
160.4,2,10,18
153.3,2,10,42
160,2,10,20
156,2,10,28
166.1,2,10,18
154.3,2,10,19
160,2,10,32
154.4,2,10,34
157.7,2,10,52
NA,2,10,61
159.6,2,10,25
169.2,2,10,21
157.8,2,10,56
157.7,2,10,54
170.1,2,10,36
150.2,2,10,44
149.9,2,10,59
154.1,2,10,49
165.9,2,10,19
163,2,10,27
173.1,2,10,35
154.2,2,10,45
164.9,2,10,38
154.9,2,10,56
166,2,10,23
150.5,2,10,46
157.5,2,10,35
154.4,2,10,25
154.5,2,10,57
169.5,2,10,37
149,2,10,38
150,2,10,47
152.9,2,10,32
154.6,2,10,35
NA,2,10,65
162.8,2,10,24
160.5,2,10,52
165.2,2,10,24
154.6,2,10,35
153.4,2,10,54
150.6,2,10,30
157.7,2,10,30
160.5,2,10,18
150.9,2,10,30
164.9,2,10,29
161,2,10,38
167,2,10,42
153,2,10,46
154.6,2,10,54
152.9,2,10,34
153.4,2,10,46
160,2,10,19
NA,2,10,62
151.5,2,10,54
159.3,2,10,50
158.5,2,10,22
165.3,2,10,43
148.5,2,10,41
162.5,2,10,36
NA,2,10,62
150.9,2,10,54
164.4,2,10,33
140.2,2,10,42
NA,2,10,63
162.7,2,10,34
NA,2,10,65
152.4,2,10,57
159.1,2,10,35
165,2,10,57
154,2,10,28
NA,2,10,63
155.5,2,10,18
162.3,2,10,33
NA,2,10,62
147.9,2,10,45
162.5,2,10,22
153.5,2,10,22
156.3,2,10,35
165.7,2,10,25
149,2,10,56
150.9,2,10,30
156,2,10,27
156.9,2,10,31
153.9,2,10,38
157.8,2,10,41
155,2,10,37
153.9,2,10,30
157,2,10,38
151.5,2,10,59
152.7,2,10,44
137.8,2,10,46
164.5,2,10,44
166.6,2,10,34
158.5,2,10,28
151.2,2,10,48
152.5,2,10,24
