"","juegos","lugar","categoria"
"1",1958,443,"C"
"2",1509,849,"E"
"3",1062,996,"E"
"4",1907,500,"C"
"5",1683,702,"D"
"6",2545,133,"A"
"7",1543,831,"E"
"8",2501,23,"A"
"9",1800,646,"D"
"10",1766,712,"D"
"11",2163,261,"B"
"12",1794,632,"D"
"13",2281,221,"B"
"14",2332,395,"B"
"15",1699,704,"D"
"16",2349,331,"B"
"17",2298,361,"B"
"18",2226,277,"B"
"19",2448,21,"A"
"20",2286,378,"B"
"21",1794,646,"D"
"22",1853,645,"D"
"23",2609,152,"A"
"24",2122,320,"B"
"25",1777,728,"D"
"26",1076,859,"E"
"27",1686,703,"D"
"28",1569,884,"E"
"29",2757,27,"A"
"30",3368,172,"A"
"31",1863,582,"C"
"32",2638,88,"A"
"33",1595,800,"D"
"34",1978,402,"C"
"35",1680,605,"D"
"36",1781,731,"D"
"37",2254,240,"B"
"38",2565,28,"A"
"39",2488,55,"A"
"40",1938,558,"C"
"41",2214,391,"B"
"42",2209,288,"B"
"43",2218,310,"B"
"44",1898,556,"C"
"45",2151,253,"B"
"46",2347,341,"B"
"47",3187,12,"A"
"48",2538,5,"A"
"49",2168,348,"B"
"50",2377,271,"B"
"51",2332,287,"B"
"52",1455,837,"E"
"53",1789,725,"D"
"54",2592,174,"A"
"55",2792,81,"A"
"56",3140,12,"A"
"57",967,928,"E"
"58",1796,713,"D"
"59",2151,248,"B"
"60",2348,260,"B"
"61",2494,24,"A"
"62",1858,645,"D"
"63",1039,808,"E"
"64",1413,983,"E"
"65",2522,142,"A"
"66",1934,508,"C"
"67",2422,77,"A"
"68",1814,682,"D"
"69",2524,28,"A"
"70",2463,103,"A"
"71",1261,910,"E"
"72",1539,943,"E"
"73",1958,583,"C"
"74",1567,839,"E"
"75",2338,220,"B"
"76",1960,553,"C"
"77",1937,584,"C"
"78",1806,758,"D"
"79",2008,423,"C"
"80",1437,811,"E"
"81",2109,598,"C"
"82",2872,10,"A"
"83",1940,482,"C"
"84",2243,242,"B"
"85",2071,417,"C"
"86",2154,257,"B"
"87",2497,84,"A"
"88",1741,681,"D"
"89",1596,634,"D"
"90",1038,817,"E"
"91",1305,886,"E"
"92",2214,286,"B"
"93",1853,759,"D"
"94",3140,139,"A"
"95",1418,941,"E"
"96",2620,33,"A"
"97",1252,949,"E"
"98",1884,588,"C"
"99",1588,614,"D"
"100",1338,819,"E"
"101",2040,507,"C"
"102",1945,523,"C"
"103",2453,43,"A"
"104",2488,23,"A"
"105",2472,135,"A"
"106",1992,415,"C"
"107",1639,611,"D"
"108",2150,243,"B"
"109",1548,959,"E"
"110",2694,34,"A"
"111",2335,313,"B"
"112",2003,595,"C"
"113",2133,287,"B"
"114",969,828,"E"
"115",2376,357,"B"
"116",2005,401,"C"
"117",1498,839,"E"
"118",3290,46,"A"
"119",2351,299,"B"
"120",2940,185,"A"
"121",1762,735,"D"
"122",2184,292,"B"
"123",2052,401,"C"
"124",2173,240,"B"
"125",1616,730,"D"
"126",2550,128,"A"
"127",1653,612,"D"
"128",1898,468,"C"
"129",1835,727,"D"
"130",2625,170,"A"
"131",1940,588,"C"
"132",3199,97,"A"
"133",2177,315,"B"
"134",2476,122,"A"
"135",1842,766,"D"
"136",2658,27,"A"
"137",1081,890,"E"
"138",2317,307,"B"
"139",1910,522,"C"
"140",2190,297,"B"
"141",1885,543,"C"
"142",1924,592,"C"
"143",2343,373,"B"
"144",1131,918,"E"
"145",2000,457,"C"
"146",2280,218,"B"
"147",2183,358,"B"
"148",2076,587,"C"
"149",1943,488,"C"
"150",1743,778,"D"
"151",2229,385,"B"
"152",3352,112,"A"
"153",1415,984,"E"
"154",2462,56,"A"
"155",1689,733,"D"
"156",2463,189,"A"
"157",2191,279,"B"
"158",2001,592,"C"
"159",2378,393,"B"
"160",2797,147,"A"
"161",2862,45,"A"
"162",2163,312,"B"
"163",2257,367,"B"
"164",2400,352,"B"
"165",1530,937,"E"
"166",2174,267,"B"
"167",1942,552,"C"
"168",1960,497,"C"
"169",2140,290,"B"
"170",1996,435,"C"
"171",2237,310,"B"
"172",2147,353,"B"
"173",1574,712,"D"
"174",1082,958,"E"
"175",1447,897,"E"
"176",1755,655,"D"
"177",2994,46,"A"
"178",1344,906,"E"
"179",1733,782,"D"
"180",2586,102,"A"
"181",2026,436,"C"
"182",2003,438,"C"
"183",2478,122,"A"
"184",2121,394,"B"
"185",1490,958,"E"
"186",2473,151,"A"
"187",1821,775,"D"
"188",2377,278,"B"
"189",2065,506,"C"
"190",1624,693,"D"
"191",2134,344,"B"
"192",1839,654,"D"
"193",1526,997,"E"
"194",1640,793,"D"
"195",1705,642,"D"
"196",2715,96,"A"
"197",2891,126,"A"
"198",2248,340,"B"
"199",2778,48,"A"
"200",2197,282,"B"
"201",1028,909,"E"
"202",2762,23,"A"
"203",2163,303,"B"
"204",3184,60,"A"
"205",2272,311,"B"
"206",2382,266,"B"
"207",2271,201,"B"
"208",2030,436,"C"
"209",2157,312,"B"
"210",1676,626,"D"
"211",1185,943,"E"
"212",2095,518,"C"
"213",1742,763,"D"
"214",1511,876,"E"
"215",2062,550,"C"
"216",1712,627,"D"
"217",1543,868,"E"
"218",1217,903,"E"
"219",1866,434,"C"
"220",2845,179,"A"
"221",1002,825,"E"
"222",1573,742,"D"
"223",2008,526,"C"
"224",1255,874,"E"
"225",2260,326,"B"
"226",1280,875,"E"
"227",1596,743,"D"
"228",1438,822,"E"
"229",1644,712,"D"
"230",1518,879,"E"
"231",1390,1000,"E"
"232",2071,467,"C"
"233",1776,711,"D"
"234",2194,366,"B"
"235",377,975,"E"
"236",1404,913,"E"
"237",2709,123,"A"
"238",2204,283,"B"
"239",1657,692,"D"
"240",2297,209,"B"
"241",1828,709,"D"
"242",1723,670,"D"
"243",2561,147,"A"
"244",2095,429,"C"
"245",2082,575,"C"
"246",1651,623,"D"
"247",1390,906,"E"
"248",2245,311,"B"
"249",1262,805,"E"
"250",1358,871,"E"
"251",1399,960,"E"
"252",1335,818,"E"
"253",2213,304,"B"
"254",2028,467,"C"
"255",1675,686,"D"
"256",2547,179,"A"
"257",1812,641,"D"
"258",1947,427,"C"
"259",1388,828,"E"
"260",1643,729,"D"
"261",2144,330,"B"
"262",2265,331,"B"
"263",845,903,"E"
"264",1948,537,"C"
"265",2157,341,"B"
"266",1657,782,"D"
"267",1738,618,"D"
"268",1634,703,"D"
"269",2157,225,"B"
"270",2510,20,"A"
"271",2243,256,"B"
"272",2379,264,"B"
"273",1721,607,"D"
"274",1522,910,"E"
"275",2021,518,"C"
"276",2053,485,"C"
"277",2405,267,"B"
"278",2100,538,"C"
"279",2376,201,"B"
"280",3215,54,"A"
"281",1211,930,"E"
"282",2076,524,"C"
"283",2538,75,"A"
"284",2242,285,"B"
"285",2093,523,"C"
"286",1586,646,"D"
"287",1485,886,"E"
"288",2445,69,"A"
"289",2247,288,"B"
"290",2329,285,"B"
"291",2954,97,"A"
"292",2606,103,"A"
"293",1687,735,"D"
"294",2322,308,"B"
"295",1872,401,"C"
"296",2127,302,"B"
"297",1875,434,"C"
"298",1639,604,"D"
"299",2043,490,"C"
"300",1915,449,"C"
"301",2409,203,"B"
"302",4287,162,"A"
"303",1501,852,"E"
"304",1450,826,"E"
"305",2218,384,"B"
"306",2083,405,"C"
"307",1789,785,"D"
"308",2006,598,"C"
"309",1474,963,"E"
"310",2646,147,"A"
"311",1240,999,"E"
"312",2119,213,"B"
"313",1422,935,"E"
"314",1888,579,"C"
"315",1377,850,"E"
"316",1812,775,"D"
"317",2367,288,"B"
"318",2715,193,"A"
"319",2256,394,"B"
"320",1577,697,"D"
"321",2610,87,"A"
"322",1861,771,"D"
"323",2266,371,"B"
"324",2524,162,"A"
"325",2211,382,"B"
"326",1852,710,"D"
"327",1836,710,"D"
"328",2496,179,"A"
"329",1814,786,"D"
"330",1960,532,"C"
"331",2471,77,"A"
"332",1166,874,"E"
"333",2067,511,"C"
"334",1783,693,"D"
"335",2737,169,"A"
"336",1515,911,"E"
"337",2008,535,"C"
"338",1265,868,"E"
"339",1275,846,"E"
"340",2289,319,"B"
"341",2019,435,"C"
"342",2260,212,"B"
"343",2663,23,"A"
"344",2952,37,"A"
"345",1820,624,"D"
"346",1729,775,"D"
"347",1842,608,"D"
"348",2267,229,"B"
"349",1671,608,"D"
"350",1892,527,"C"
"351",2325,239,"B"
"352",881,840,"E"
"353",1583,751,"D"
"354",1595,788,"D"
"355",1977,576,"C"
"356",2194,259,"B"
"357",1757,686,"D"
"358",2023,482,"C"
"359",1740,762,"D"
"360",1338,807,"E"
"361",1234,909,"E"
"362",1800,688,"D"
"363",2603,194,"A"
"364",1907,600,"C"
"365",2048,544,"C"
"366",2711,41,"A"
"367",1387,801,"E"
"368",1921,469,"C"
"369",1555,895,"E"
"370",1651,653,"D"
"371",2411,80,"A"
"372",2556,104,"A"
"373",2036,525,"C"
"374",1762,695,"D"
"375",2550,157,"A"
"376",1962,561,"C"
"377",2533,200,"A"
"378",2194,228,"B"
"379",2324,359,"B"
"380",1976,572,"C"
"381",3009,98,"A"
"382",2080,497,"C"
"383",2072,407,"C"
"384",1638,609,"D"
"385",1822,669,"D"
"386",2039,527,"C"
"387",2345,341,"B"
"388",2142,390,"B"
"389",1077,878,"E"
"390",2715,84,"A"
"391",1805,788,"D"
"392",2018,551,"C"
"393",2305,270,"B"
"394",1340,979,"E"
"395",1644,745,"D"
"396",1558,923,"E"
"397",1443,952,"E"
"398",2711,98,"A"
"399",2373,384,"B"
"400",2115,429,"C"
"401",1736,660,"D"
"402",2214,253,"B"
"403",1698,790,"D"
"404",2940,171,"A"
"405",2418,96,"A"
"406",2299,283,"B"
"407",1474,858,"E"
"408",1499,854,"E"
"409",2040,592,"C"
"410",1365,971,"E"
"411",2730,95,"A"
"412",1424,959,"E"
"413",1680,621,"D"
"414",2138,291,"B"
"415",1331,908,"E"
"416",2616,114,"A"
"417",1745,701,"D"
"418",2138,380,"B"
"419",1494,925,"E"
"420",1668,669,"D"
"421",2363,295,"B"
"422",1840,654,"D"
"423",2201,244,"B"
"424",1191,833,"E"
"425",2104,562,"C"
"426",2813,47,"A"
"427",1786,679,"D"
"428",2185,336,"B"
"429",1693,768,"D"
"430",2217,380,"B"
"431",1636,702,"D"
"432",1835,630,"D"
"433",1738,675,"D"
"434",2415,50,"A"
"435",2403,373,"B"
"436",1651,727,"D"
"437",1903,412,"C"
"438",2050,482,"C"
"439",1562,885,"E"
"440",2210,295,"B"
"441",1248,953,"E"
"442",2181,342,"B"
"443",1896,460,"C"
"444",1779,706,"D"
"445",2123,321,"B"
"446",1423,958,"E"
"447",1920,588,"C"
"448",1227,965,"E"
"449",1338,828,"E"
"450",2698,73,"A"
"451",2113,514,"C"
"452",2476,10,"A"
"453",2379,246,"B"
"454",1680,725,"D"
"455",1762,721,"D"
"456",1175,904,"E"
"457",1919,553,"C"
"458",2284,386,"B"
"459",2610,86,"A"
"460",2954,141,"A"
"461",1505,878,"E"
"462",2290,400,"B"
"463",2720,150,"A"
"464",2018,403,"C"
"465",2324,251,"B"
"466",2064,522,"C"
"467",1668,800,"D"
"468",2384,332,"B"
"469",2232,386,"B"
"470",3209,84,"A"
"471",1339,909,"E"
"472",1793,657,"D"
"473",2599,182,"A"
"474",1667,782,"D"
"475",1913,526,"C"
"476",1677,728,"D"
"477",2151,215,"B"
"478",1566,836,"E"
"479",2065,505,"C"
"480",2576,94,"A"
"481",1601,718,"D"
"482",1312,958,"E"
"483",1954,588,"C"
"484",2106,599,"C"
"485",1954,477,"C"
"486",2319,361,"B"
