Horas_ocio_semana,Calificacion_matematicas
39,76.8
29,86.5
15,89.1
8,99.4
21,87.1
39,70.0
19,88.5
23,91.6
11,92.1
11,100.0
24,70.1
36,78.9
24,83.6
3,96.4
22,85.1
2,88.7
24,82.1
30,80.8
38,80.8
2,96.0
21,81.3
33,74.4
12,96.2
22,86.2
25,79.9
27,83.7
28,80.9
16,93.6
15,86.0
3,96.3
37,72.1
7,87.8
21,86.8
9,95.0
39,72.7
18,86.2
4,90.1
25,80.4
14,88.5
9,89.7
26,81.0
2,100.0
20,95.4
28,81.3
7,96.4
8,94.0
35,70.0
14,90.1
17,88.4
36,87.1
4,96.2
2,100.0
6,95.6
4,91.4
29,85.4
18,91.2
26,85.8
34,71.7
10,100.0
36,70.0
14,93.1
31,89.3
15,84.5
8,91.6
14,90.7
23,81.4
21,77.5
16,89.1
18,82.1
24,85.6
26,77.2
25,90.2
29,75.8
15,87.9
1,100.0
25,76.3
7,96.2
9,100.0
24,75.2
1,100.0
8,95.7
24,87.1
11,86.1
17,81.5
8,97.0
35,77.0
35,76.8
33,78.6
5,93.1
39,73.9
28,81.9
7,91.5
9,100.0
8,96.8
12,85.6
34,79.5
33,72.0
23,87.8
24,89.0
37,70.0
