Horas_Estudio_Semana,Asistencia_Porcentaje,Modalidad,Rendimiento
2.8,77.4,Presencial,Medio
1.0,99.7,Presencial,Alto
12.7,86.2,Presencial,Medio
14.0,92.9,Presencial,Medio
13.3,74.8,Presencial,Alto
7.6,96.9,Presencial,Medio
8.8,84.9,Hibrida,Bajo
8.1,88.1,Presencial,Medio
13.4,90.9,Presencial,Medio
11.8,99.1,Presencial,Alto
9.2,83.0,Presencial,Alto
11.3,90.4,Presencial,Medio
13.4,86.5,Hibrida,Alto
10.2,70.8,Presencial,Bajo
5.5,74.1,Hibrida,Medio
8.8,71.8,Presencial,Medio
7.6,83.5,Hibrida,Medio
3.9,86.9,Hibrida,Bajo
2.5,89.5,Hibrida,Alto
9.5,93.9,Presencial,Medio
5.7,87.3,Hibrida,Medio
10.3,73.3,Presencial,Medio
6.4,100.0,Presencial,Medio
11.6,86.3,Presencial,Bajo
11.8,79.2,Presencial,Medio
10.2,70.0,Presencial,Alto
5.2,89.9,Presencial,Medio
2.5,70.7,Presencial,Medio
15.9,95.6,En linea,Medio
8.8,86.7,Presencial,Medio
15.6,68.3,Hibrida,Medio
8.2,80.4,Presencial,Alto
5.2,100.0,Hibrida,Alto
9.0,66.9,En linea,Alto
5.1,79.3,Presencial,Bajo
9.2,64.7,En linea,Alto
14.3,85.2,Presencial,Alto
11.9,100.0,En linea,Medio
18.0,83.5,Hibrida,Medio
10.2,82.6,En linea,Medio
10.1,80.8,Presencial,Bajo
6.1,81.2,Hibrida,Medio
6.0,80.5,En linea,Bajo
9.9,90.0,Presencial,Medio
6.2,93.4,Presencial,Medio
8.0,62.0,En linea,Medio
8.0,59.4,Presencial,Alto
5.3,93.0,Presencial,Bajo
16.5,93.0,Presencial,Medio
2.8,70.2,Hibrida,Alto
9.5,80.8,Presencial,Alto
12.2,86.7,Presencial,Alto
12.6,90.1,Hibrida,Medio
7.7,84.7,Presencial,Medio
5.7,86.3,Presencial,Medio
16.9,81.4,Hibrida,Bajo
16.1,90.6,Presencial,Medio
9.6,83.2,Hibrida,Alto
9.2,81.1,En linea,Medio
9.4,80.3,Hibrida,Medio
5.4,77.0,Hibrida,Medio
8.9,89.8,Hibrida,Medio
12.6,86.3,Presencial,Alto
11.5,85.9,Presencial,Medio
6.0,80.7,Presencial,Medio
11.6,90.2,En linea,Medio
6.4,86.1,Hibrida,Medio
3.7,73.0,En linea,Alto
10.3,60.6,Presencial,Alto
11.2,78.9,En linea,Medio
13.9,82.6,Presencial,Medio
6.3,100.0,En linea,Alto
12.5,96.3,En linea,Medio
10.9,90.9,Presencial,Medio
9.9,100.0,Presencial,Alto
7.7,78.7,Presencial,Medio
8.3,85.4,Presencial,Bajo
10.7,91.2,Presencial,Alto
10.2,83.6,Presencial,Medio
5.1,82.1,Presencial,Medio
7.1,87.6,Hibrida,Medio
8.7,82.3,En linea,Medio
12.2,94.4,Presencial,Alto
10.6,65.9,En linea,Medio
8.9,88.0,Presencial,Bajo
8.2,99.4,En linea,Medio
14.2,78.3,Presencial,Medio
7.5,76.3,Hibrida,Medio
6.5,86.8,Hibrida,Medio
7.5,83.6,Hibrida,Bajo
10.2,88.3,Hibrida,Medio
9.0,79.3,Presencial,Bajo
7.2,86.2,En linea,Alto
7.5,90.3,Presencial,Medio
10.8,62.9,Presencial,Alto
10.6,83.5,Hibrida,Medio
10.1,88.4,Hibrida,Alto
5.9,72.8,En linea,Medio
9.0,72.0,En linea,Bajo
13.0,91.8,Presencial,Bajo
