promedio_escolar,semestre
80.82,4
84.8,6
76.57,7
89.25,8
86.33,6
82.75,8
82.67,1
85.04,5
82.84,3
83.0,3
86.65,8
85.86,6
83.63,4
83.54,8
84.49,4
81.51,8
82.32,3
85.99,3
83.37,6
78.58,8
82.03,1
86.4,6
82.98,4
83.3,7
86.35,7
90.91,2
81.13,6
89.07,8
79.13,2
84.55,7
79.37,1
89.08,2
87.09,3
88.26,5
80.46,7
86.51,1
81.87,1
82.11,6
85.83,3
87.25,5
84.66,4
81.45,5
80.69,3
89.44,7
86.16,1
86.65,7
92.29,4
80.73,1
93.74,8
94.95,7
90.11,2
87.06,5
81.32,2
87.71,2
82.17,3
83.79,3
82.75,8
84.97,5
88.84,4
81.73,7
80.08,1
80.01,8
80.14,1
78.36,1
80.36,1
88.86,4
81.59,8
84.86,7
79.18,1
84.53,5
77.17,8
81.18,7
92.56,3
81.63,5
88.19,3
85.63,2
83.28,8
81.36,5
88.83,4
83.19,5
89.76,2
81.1,8
84.09,5
85.67,3
85.31,5
79.12,2
81.31,4
83.12,6
80.58,7
86.48,4
86.14,6
76.33,4
76.92,1
78.93,8
84.33,7
91.71,6
82.4,1
84.84,6
79.78,2
79.84,8
76.33,1
83.76,6
87.52,4
82.5,8
89.26,7
84.64,6
83.73,5
85.87,5
85.75,5
88.3,3
80.78,5
75.06,2
84.32,3
81.52,5
83.77,6
90.29,1
79.62,8
86.82,2
87.52,5
85.65,6
88.18,3
82.11,6
81.25,5
87.88,1
86.65,7
89.23,2
84.69,1
90.13,5
82.79,2
79.79,4
76.02,1
79.63,5
87.03,8
78.23,2
82.13,5
91.99,7
87.14,2
90.78,3
80.05,4
74.39,3
89.72,1
78.41,4
84.22,8
84.71,5
80.22,3
89.86,8
89.84,1
86.0,2
83.76,8
84.61,2
79.65,7
82.95,2
83.47,2
80.59,7
87.15,6
78.38,4
82.13,3
75.19,8
85.79,4
86.74,1
86.27,7
94.95,5
87.5,2
80.24,7
94.14,5
80.33,5
86.91,7
86.74,4
80.48,1
89.25,7
85.24,2
86.07,5
81.27,4
88.89,8
80.56,1
77.02,2
89.37,4
82.23,5
84.04,2
91.28,6
88.25,2
86.31,8
88.0,8
81.07,1
86.78,5
88.15,7
86.78,3
83.09,6
72.79,7
86.02,7
84.32,5
82.45,5
86.87,2
84.9,4
84.66,6
78.16,7
78.25,3
85.3,3
84.17,6
84.41,1
84.51,2
85.46,6
84.01,6
84.48,7
84.86,7
87.46,7
81.89,3
86.9,4
86.33,5
84.28,6
82.04,4
85.3,6
87.2,2
79.73,3
84.11,6
84.12,7
81.33,1
81.49,8
77.9,7
79.62,3
77.95,6
81.5,3
81.72,1
81.79,5
85.31,8
83.15,8
81.06,1
81.09,5
79.51,1
83.12,8
83.05,4
90.13,8
89.79,5
89.57,6
91.89,1
79.18,6
86.47,5
86.81,2
85.71,4
92.07,3
93.65,1
87.65,7
86.39,6
79.55,4
79.56,3
86.57,2
83.58,7
78.75,1
83.4,5
85.26,2
87.48,1
83.46,5
82.84,3
83.9,8
84.54,6
79.39,4
87.08,8
92.31,7
87.01,4
78.29,2
84.24,1
77.07,7
76.82,4
86.41,8
84.17,4
81.23,5
75.83,7
78.98,4
84.5,5
84.0,8
86.53,2
89.74,2
82.57,8
85.68,8
83.34,8
81.96,8
82.93,1
87.58,8
79.91,2
88.27,8
89.57,6
84.01,5
84.86,4
78.43,6
92.97,6
87.65,5
84.54,1
84.09,3
85.61,2
81.36,8
84.97,7
80.31,1
85.79,5
81.26,3
87.32,5
83.41,8
84.91,5
94.95,8
86.97,3
84.91,3
84.04,7
79.87,8
88.05,6
90.05,7
84.12,4
90.34,7
83.44,2
77.04,5
81.36,6
79.8,4
82.82,3
86.29,1
80.29,4
83.56,3
84.64,6
81.05,3
80.37,6
84.21,1
87.24,8
81.55,1
80.98,3
83.33,3
84.99,7
81.78,4
82.59,7
82.98,7
79.69,6
83.19,5
81.72,5
89.98,5
81.88,7
85.64,7
85.34,4
79.57,7
79.06,1
82.16,4
86.43,6
81.66,5
81.35,4
72.79,8
82.34,1
85.08,1
85.59,4
85.53,5
82.61,4
83.0,7
87.08,6
83.35,4
75.0,3
87.8,6
79.72,4
89.17,7
90.4,2
86.81,7
87.36,6
91.03,5
79.63,8
84.85,6
84.79,8
80.15,6
91.63,3
81.64,4
81.06,8
84.91,1
87.85,8
81.56,8
81.56,7
85.82,4
78.38,6
80.9,3
80.64,2
82.2,3
83.33,8
90.98,4
87.37,6
83.96,5
83.01,8
87.24,5
85.52,4
87.31,4
89.2,6
79.99,1
75.19,8
83.79,8
84.18,1
84.98,1
81.57,8
82.98,8
86.03,4
86.23,1
89.0,1
75.53,5
77.52,8
89.51,7
86.22,1
86.93,6
82.78,7
82.05,6
84.64,4
80.25,1
77.98,6
79.59,7
84.32,5
86.33,6
90.24,1
85.31,8
85.69,3
90.38,8
80.88,2
80.18,7
81.8,7
83.5,7
91.67,3
82.53,8
88.91,4
82.05,6
85.77,1
86.5,5
85.93,3
86.77,5
81.22,6
89.49,5
87.65,1
81.17,6
85.82,3
79.74,5
84.24,6
79.36,1
86.64,3
94.95,2
89.54,6
86.69,4
80.39,1
85.34,3
88.44,8
83.53,6
84.37,4
77.34,8
80.58,6
76.75,3
91.25,2
85.69,7
86.67,3
83.09,3
78.24,3
84.55,6
81.42,2
80.14,1
84.09,5
84.3,5
83.18,6
80.89,5
80.07,2
83.9,7
88.58,8
77.69,1
81.34,3
83.25,5
83.26,4
81.59,7
91.31,8
85.41,6
80.08,4
76.62,2
83.21,6
89.57,7
84.62,8
74.95,2
78.57,5
84.35,1
87.99,8
84.42,1
84.45,7
88.01,7
88.71,4
81.27,7
85.56,1
80.18,8
79.72,3
86.14,7
78.39,1
84.53,8
85.08,2
87.19,8
79.44,3
85.34,5
83.39,6
89.6,6
81.01,5
79.6,8
85.8,5
80.58,5
78.89,1
87.38,2
85.53,4
72.79,8
80.32,5
79.6,1
86.36,2
89.55,5
