ID_Solicitud,Riesgo,Ingreso_Estable,Buen_Historial,Tiene_Garantia
1,Bajo,1,1,1
2,Muy alto,1,0,1
3,Alto,0,1,0
4,Muy alto,0,0,0
5,Bajo,1,1,1
6,Bajo,1,1,1
7,Bajo,1,0,0
8,Bajo,1,1,1
9,Medio,1,1,1
10,Medio,1,1,1
11,Bajo,1,1,0
12,Bajo,0,1,1
13,Muy alto,0,0,0
14,Muy alto,0,0,0
15,Alto,0,0,0
16,Muy alto,0,0,0
17,Medio,1,1,1
18,Medio,1,0,1
19,Alto,1,0,0
20,Alto,1,1,0
21,Medio,1,1,1
22,Medio,1,1,1
23,Alto,1,0,1
24,Bajo,1,1,1
25,Medio,1,1,1
26,Muy alto,0,0,1
27,Bajo,1,0,0
28,Medio,1,1,1
29,Medio,1,1,1
30,Medio,1,1,1
31,Medio,0,1,0
32,Medio,0,0,1
33,Muy alto,0,1,0
34,Bajo,1,1,1
35,Muy alto,0,0,0
36,Medio,0,1,1
37,Medio,0,1,1
38,Medio,0,1,1
39,Muy alto,0,0,1
40,Muy alto,0,0,1
41,Bajo,1,1,0
42,Alto,0,0,0
43,Alto,1,0,0
44,Alto,1,0,0
45,Muy alto,0,1,1
46,Alto,1,0,1
47,Alto,0,1,1
48,Muy alto,0,0,0
49,Muy alto,0,1,0
50,Medio,1,1,1
51,Muy alto,0,0,0
52,Bajo,1,1,1
53,Medio,1,0,0
54,Bajo,1,1,1
55,Bajo,0,1,1
56,Medio,1,0,1
57,Muy alto,0,1,0
58,Medio,1,0,1
59,Bajo,1,1,0
60,Alto,1,0,1
61,Medio,0,1,1
62,Alto,0,0,1
63,Alto,0,0,0
64,Alto,1,1,0
65,Medio,1,0,1
66,Bajo,1,1,1
67,Muy alto,0,0,1
68,Medio,1,0,1
69,Medio,1,1,0
70,Medio,0,0,0
71,Bajo,1,1,1
72,Bajo,1,1,1
73,Bajo,1,1,1
74,Bajo,0,1,1
75,Bajo,1,1,0
76,Bajo,1,1,1
77,Muy alto,0,1,1
78,Bajo,1,1,1
79,Bajo,1,1,1
80,Medio,1,1,1
81,Medio,1,1,1
82,Medio,1,1,1
83,Muy alto,0,1,0
84,Medio,1,1,1
85,Bajo,1,1,1
86,Medio,0,1,1
87,Bajo,1,1,1
88,Muy alto,0,0,1
89,Alto,0,0,0
90,Alto,0,1,1
91,Alto,1,0,1
92,Alto,0,0,1
93,Alto,0,0,1
94,Alto,0,0,0
95,Alto,1,0,1
96,Bajo,1,1,1
97,Muy alto,0,0,0
98,Medio,1,1,1
99,Bajo,1,1,1
100,Medio,0,1,0
101,Bajo,1,0,0
102,Medio,1,0,0
103,Bajo,1,1,1
104,Muy alto,0,0,1
105,Muy alto,0,0,0
106,Alto,1,1,0
107,Muy alto,1,0,1
108,Bajo,1,1,1
109,Alto,0,0,0
110,Alto,1,1,0
111,Alto,1,0,0
112,Medio,1,0,1
113,Alto,1,0,1
114,Alto,0,0,0
115,Alto,1,1,0
116,Medio,0,0,0
117,Medio,1,1,1
118,Alto,0,0,0
119,Medio,1,1,0
120,Muy alto,0,0,1
121,Medio,1,0,1
122,Bajo,1,1,0
123,Bajo,1,1,0
124,Medio,0,0,1
125,Alto,1,0,0
126,Bajo,1,1,1
127,Muy alto,0,0,0
128,Muy alto,1,0,1
129,Muy alto,0,0,0
130,Muy alto,1,0,0
131,Bajo,1,1,1
132,Medio,1,1,0
133,Bajo,1,1,0
134,Muy alto,1,0,0
135,Bajo,1,1,0
136,Alto,1,0,1
137,Muy alto,0,0,1
138,Muy alto,1,1,0
139,Medio,0,1,1
140,Alto,0,0,1
141,Alto,0,1,0
142,Bajo,1,1,0
143,Bajo,1,1,1
144,Medio,1,1,1
145,Bajo,1,1,1
146,Muy alto,0,0,0
147,Muy alto,0,0,0
148,Muy alto,0,0,0
149,Medio,1,0,1
150,Muy alto,0,0,0
151,Medio,1,1,0
152,Medio,0,1,1
153,Medio,1,1,0
154,Medio,1,1,0
155,Bajo,1,1,0
156,Medio,1,1,1
157,Bajo,1,1,0
158,Alto,0,0,1
159,Bajo,1,1,1
160,Muy alto,0,0,0
161,Medio,0,1,1
162,Medio,0,1,1
163,Muy alto,0,1,0
164,Alto,1,0,1
165,Medio,1,1,0
166,Alto,1,1,0
167,Medio,1,1,0
168,Medio,1,1,0
169,Bajo,1,1,0
170,Muy alto,0,0,0
171,Bajo,0,0,1
172,Muy alto,1,0,1
173,Alto,0,1,0
174,Medio,1,0,1
175,Bajo,1,0,1
176,Medio,1,0,1
177,Muy alto,1,0,0
178,Medio,1,1,1
179,Bajo,0,1,1
180,Medio,0,1,1
181,Muy alto,0,0,1
182,Medio,0,1,0
183,Alto,0,1,1
184,Muy alto,0,0,0
185,Medio,1,1,1
186,Medio,1,0,1
187,Alto,0,0,0
188,Medio,1,1,1
189,Medio,0,1,0
190,Bajo,1,1,0
191,Alto,0,1,1
192,Medio,0,1,1
193,Alto,1,1,0
194,Medio,1,0,0
