Edad,Horas_Trabajo_Semana,Ingreso_Mensual_MXN,Antiguedad_Laboral_Anios,Sector_Laboral,Nivel_Estudios
20,34,8912,4.7,Servicios,Secundaria
40,51,13846,12.5,Industria,Secundaria
33,32,17769,1.8,Comercio,Licenciatura
40,56,8492,3.4,Construccion,Secundaria
37,49,6589,18.5,Industria,Posgrado
51,47,19833,6.2,Comercio,Posgrado
26,40,31016,10.6,Servicios,Posgrado
37,43,10989,12.6,Gobierno,Secundaria
38,41,5521,18.1,Construccion,Licenciatura
60,39,13002,1.0,Construccion,Secundaria
25,38,17943,5.7,Gobierno,Secundaria
48,49,14952,7.9,Comercio,Licenciatura
30,56,9938,0.8,Industria,Posgrado
51,44,20201,19.7,Gobierno,Secundaria
39,37,39375,2.1,Comercio,Bachillerato
40,54,19662,9.3,Comercio,Licenciatura
32,42,9127,3.4,Servicios,Secundaria
30,55,11027,2.1,Servicios,Licenciatura
30,53,4758,8.2,Gobierno,Bachillerato
45,39,9412,5.2,Servicios,Bachillerato
34,43,9810,7.7,Servicios,Secundaria
18,49,41654,3.9,Industria,Posgrado
54,40,43309,10.6,Servicios,Licenciatura
50,33,6492,6.4,Construccion,Posgrado
52,45,24089,6.3,Comercio,Secundaria
42,42,6244,5.6,Comercio,Licenciatura
43,36,6518,7.6,Servicios,Licenciatura
29,52,14427,7.7,Servicios,Bachillerato
24,54,46300,6.6,Construccion,Licenciatura
27,40,20170,3.5,Industria,Secundaria
34,43,9797,2.0,Servicios,Secundaria
34,40,8279,4.7,Comercio,Secundaria
43,53,28394,19.0,Servicios,Bachillerato
33,47,32430,8.2,Servicios,Licenciatura
19,43,18507,10.0,Gobierno,Bachillerato
33,44,10810,1.6,Servicios,Posgrado
36,60,11371,19.2,Comercio,Secundaria
29,41,5953,5.6,Servicios,Bachillerato
35,39,9728,5.1,Industria,Secundaria
50,38,18267,5.9,Industria,Secundaria
33,41,5987,4.3,Gobierno,Posgrado
27,49,16039,5.9,Construccion,Secundaria
32,37,8171,15.4,Comercio,Licenciatura
23,49,27562,12.0,Servicios,Licenciatura
29,48,6828,6.2,Servicios,Posgrado
37,49,10974,8.8,Industria,Secundaria
34,60,12210,9.9,Comercio,Licenciatura
32,33,17301,11.7,Industria,Licenciatura
47,38,15378,11.3,Industria,Secundaria
43,43,13582,3.3,Industria,Bachillerato
42,46,9167,19.8,Comercio,Bachillerato
45,51,25202,3.0,Industria,Licenciatura
36,38,27566,15.3,Servicios,Secundaria
36,42,31007,4.4,Construccion,Secundaria
46,36,11482,4.1,Servicios,Bachillerato
41,51,12561,20.9,Industria,Licenciatura
26,38,14413,12.7,Comercio,Secundaria
36,46,8091,8.0,Gobierno,Licenciatura
51,54,9639,4.9,Servicios,Licenciatura
36,39,14486,11.3,Industria,Secundaria
18,36,12676,10.1,Industria,Bachillerato
18,43,6543,3.2,Comercio,Licenciatura
47,34,6144,1.6,Gobierno,Bachillerato
27,35,20127,17.7,Construccion,Licenciatura
35,45,11310,3.3,Servicios,Secundaria
31,40,6899,4.5,Servicios,Licenciatura
30,28,8776,6.3,Servicios,Bachillerato
23,52,17494,8.7,Servicios,Bachillerato
33,38,27142,19.6,Comercio,Secundaria
34,43,23785,4.6,Construccion,Secundaria
23,46,9908,12.5,Servicios,Bachillerato
29,55,6519,5.8,Industria,Posgrado
31,42,24460,6.4,Gobierno,Bachillerato
54,51,33802,20.6,Servicios,Secundaria
48,55,3409,8.1,Comercio,Licenciatura
36,44,8725,7.3,Gobierno,Bachillerato
37,46,18698,6.6,Servicios,Licenciatura
39,42,23667,8.3,Servicios,Secundaria
30,50,5684,10.0,Servicios,Licenciatura
65,45,16880,16.5,Industria,Licenciatura
53,50,21835,7.0,Comercio,Bachillerato
31,41,5605,1.5,Gobierno,Secundaria
38,42,8756,5.6,Construccion,Bachillerato
50,45,10674,7.2,Servicios,Bachillerato
32,53,11804,8.2,Comercio,Licenciatura
47,49,27728,2.7,Servicios,Bachillerato
39,36,18078,1.5,Comercio,Secundaria
18,55,10357,18.0,Comercio,Posgrado
42,39,16608,8.5,Comercio,Posgrado
54,40,13150,11.6,Servicios,Licenciatura
34,51,12002,5.8,Servicios,Licenciatura
48,38,30516,3.6,Servicios,Secundaria
47,46,11617,3.1,Gobierno,Bachillerato
50,44,13803,4.7,Comercio,Licenciatura
45,36,31430,7.4,Servicios,Licenciatura
56,37,10593,5.8,Industria,Licenciatura
48,46,21215,9.8,Servicios,Bachillerato
42,44,13512,8.5,Gobierno,Licenciatura
29,34,12552,4.5,Servicios,Bachillerato
33,37,19539,4.4,Comercio,Bachillerato
41,34,14098,1.8,Industria,Bachillerato
41,42,20498,13.0,Industria,Bachillerato
