Unidades_Vendidas,Precio_Unitario,Descuento_Porc,Venta_Total
46,419.88,25.56,14377.73
3,369.14,3.25,1071.47
29,494.81,9.92,12925.81
35,560.62,18.4,16012.05
39,388.63,6.81,14124.8
18,625.73,27.58,8156.26
20,487.76,21.2,7687.23
43,503.07,6.61,20202.58
23,566.85,3.2,12620.26
34,439.1,2.21,14598.98
33,487.15,5.64,15169.4
50,604.86,11.87,26654.11
48,362.19,22.52,13469.3
10,417.91,4.23,4002.37
33,455.15,1.09,14855.81
47,448.68,26.75,15446.85
33,620.42,10.06,18414.07
48,570.78,9.91,24682.01
26,456.36,15.75,9996.29
20,540.22,12.59,9443.6
15,664.72,8.86,9087.71
37,668.1,21.47,19413.16
33,507.46,23.77,12766.41
17,522.11,24.79,6675.68
5,557.11,23.1,2142.05
50,758.28,20.71,30060.87
4,462.09,5.79,1741.32
3,525.47,21.95,1230.4
21,293.22,8.24,5650.11
40,498.38,21.65,15618.42
3,617.71,2.94,1798.73
21,448.88,12.69,8230.27
48,633.34,11.79,26816.04
49,441.94,1.1,21416.82
8,618.08,26.52,3633.27
42,479.57,20.29,16054.2
36,496.39,23.35,13697.87
29,419.0,19.97,9724.16
39,329.36,10.29,11523.22
34,476.0,15.2,13723.33
22,410.02,3.86,8672.12
31,487.4,4.85,14376.88
28,433.07,9.72,10947.01
35,414.11,19.31,11695.12
34,288.91,17.99,8055.99
13,479.39,23.26,4782.63
41,486.54,15.96,16763.32
4,653.97,20.27,2085.63
43,552.65,1.32,23451.13
6,367.91,28.0,1589.39
1,601.8,25.39,449.03
12,405.88,28.1,3501.98
35,509.84,5.21,16914.94
11,481.61,4.38,5065.76
23,500.05,16.21,9637.12
14,520.82,25.16,5456.81
19,543.44,22.15,8038.09
37,366.6,7.76,12511.82
16,650.27,14.26,8920.86
44,611.0,7.06,24985.62
28,453.76,16.93,10554.61
45,512.26,17.03,19126.85
31,400.0,2.49,12090.9
7,560.55,18.98,3178.95
46,504.82,2.91,22545.54
27,455.33,0.84,12191.09
17,532.59,25.65,6731.29
7,528.37,7.45,3422.89
15,529.84,13.95,6838.63
40,427.44,28.14,12286.66
12,398.04,18.76,3880.34
8,604.23,11.18,4293.54
2,503.47,25.56,749.61
44,422.68,6.44,17400.54
38,394.0,14.65,12778.93
26,580.67,16.97,12534.98
21,575.46,17.57,9960.72
50,308.58,0.53,15347.85
13,531.52,11.31,6128.31
19,549.28,15.45,8824.18
18,432.59,13.74,6717.11
2,421.13,24.66,634.58
45,656.37,21.69,23130.74
42,513.88,27.96,15547.43
49,502.67,6.71,22977.42
28,739.77,4.69,19742.83
50,645.09,6.1,30288.03
23,555.03,19.69,10252.01
4,594.34,7.55,2197.87
4,508.8,19.94,1629.42
12,418.86,20.5,3995.86
22,581.41,2.44,12479.0
26,351.56,22.2,7111.26
40,422.59,9.42,15311.38
42,371.04,6.63,14549.9
35,615.67,7.76,19875.29
4,453.48,26.89,1326.19
12,530.62,18.15,5211.52
4,544.17,19.49,1752.43
31,641.6,6.51,18594.17
7,475.16,10.8,2966.95
10,620.51,24.31,4696.4
24,591.03,10.21,12737.09
15,709.06,24.38,8042.89
39,371.83,6.0,13631.37
20,517.62,21.97,8077.85
7,497.89,3.5,3363.11
13,502.9,24.67,4924.7
28,553.51,20.18,12370.47
39,518.39,28.72,14411.03
18,429.54,0.89,7663.27
47,428.94,3.96,19362.66
11,527.0,0.82,5749.54
36,528.99,0.5,18947.9
36,370.35,25.38,9948.56
2,418.15,18.94,677.88
48,398.25,19.31,15424.24
46,503.61,11.28,20552.02
17,485.12,1.6,8115.25
6,460.71,12.94,2406.71
41,473.37,4.72,18491.91
46,526.62,28.04,17432.41
23,348.52,26.36,5903.27
47,452.2,9.03,19334.68
16,564.02,0.52,8977.47
41,397.93,0.63,16212.82
26,296.08,15.87,6476.67
46,483.82,24.69,16759.91
50,510.38,10.27,22898.18
1,407.32,19.72,326.98
36,385.21,25.74,10298.22
30,338.76,19.09,8223.12
2,407.44,0.18,813.38
20,344.51,16.53,5751.02
5,470.44,5.25,2228.83
31,503.4,24.0,11859.76
8,331.35,12.37,2322.88
30,536.73,13.18,13980.44
39,609.52,9.12,21603.92
2,611.65,6.89,1139.06
13,363.96,4.8,4504.43
4,470.29,12.23,1651.11
45,347.77,16.13,13125.6
8,491.9,27.03,2871.61
39,585.42,12.06,20078.31
25,446.43,9.65,10083.47
7,430.24,24.55,2272.43
14,477.77,20.89,5291.83
29,537.2,3.44,15042.41
45,468.65,21.22,16614.08
21,442.72,28.54,6644.16
37,523.99,14.92,16495.69
49,439.74,14.72,18376.17
33,661.14,21.71,17081.57
41,475.86,6.0,18340.52
25,553.56,11.01,12315.29
46,500.52,9.51,20834.85
14,570.56,29.88,5601.36
9,629.61,4.85,5391.72
15,366.79,5.22,5214.73
7,418.87,13.83,2526.66
2,424.87,8.23,779.81
31,665.62,26.12,15244.55
7,495.34,13.09,3013.32
41,749.99,20.55,24431.34
11,425.73,24.55,3533.53
13,531.72,8.16,6348.16
13,505.56,21.98,5127.56
26,383.91,11.97,8786.5
43,575.14,7.64,22842.68
50,276.57,26.7,10135.75
8,406.75,16.95,2702.43
14,555.11,14.89,6614.41
45,560.28,5.42,23846.61
2,743.84,27.05,1085.28
42,569.45,19.14,19340.29
15,672.0,28.43,7214.39
24,390.77,1.33,9253.72
34,537.78,3.5,17644.88
4,580.66,26.32,1711.31
18,616.99,13.55,9600.72
25,630.56,14.01,13555.59
47,418.35,6.7,18345.47
24,523.21,14.65,10717.03
6,442.93,13.16,2307.98
34,749.76,21.63,19979.04
38,634.49,19.06,19514.02
3,349.15,23.97,796.38
19,378.03,23.49,5495.21
47,391.97,12.65,16092.95
46,582.07,9.04,24353.61
36,579.69,9.8,18822.93
19,446.07,29.7,5958.35
28,529.58,12.28,13007.8
47,780.44,22.66,28367.39
10,578.44,2.48,5640.79
18,541.28,12.89,8487.47
4,525.07,9.87,1893.05
12,394.77,4.81,4509.57
27,306.82,0.72,8224.8
29,586.16,7.56,15713.89
12,623.32,23.8,5699.65
11,301.2,8.92,3017.47
4,576.77,26.19,1702.84
46,448.08,17.37,17032.51
24,449.98,24.14,8192.28
26,464.2,29.98,8450.77
28,606.42,19.22,13716.69
47,426.7,10.23,18004.01
4,412.52,9.3,1496.61
36,533.42,29.18,13599.59
15,441.71,21.44,5205.31
22,519.93,15.08,9714.03
49,551.25,6.42,25276.43
24,458.9,14.7,9394.85
24,557.25,22.86,10316.17
37,620.22,29.24,16237.76
5,604.09,20.18,2410.81
6,607.64,0.74,3618.92
49,487.9,13.96,20570.62
10,564.08,24.83,4240.18
3,531.55,15.32,1350.41
38,513.15,10.32,17486.6
34,664.06,25.83,16745.41
6,191.6,17.33,950.4
10,491.26,15.13,4169.21
16,502.99,14.59,6873.74
29,459.33,20.44,10597.28
3,383.94,13.66,994.51
11,473.9,17.01,4325.97
37,486.48,8.66,16441.66
4,398.28,5.16,1510.99
49,355.4,24.6,13130.48
4,350.51,9.58,1267.79
24,490.08,3.77,11318.44
28,439.26,5.53,11619.36
35,602.89,12.38,18488.88
38,448.42,8.56,15580.9
50,467.53,20.85,18502.06
24,497.24,10.5,10681.16
22,550.58,17.58,9983.8
26,429.01,5.01,10594.99
18,587.66,4.1,10144.46
3,582.07,27.19,1271.43
46,368.31,25.94,12547.97
11,367.77,26.93,2955.96
9,457.13,14.8,3505.13
33,627.14,2.11,20258.38
26,557.42,9.31,13144.17
36,660.8,26.44,17498.5
4,432.78,12.68,1511.7
2,478.29,9.81,862.77
8,517.16,8.86,3770.52
7,498.34,16.48,2913.41
36,368.17,13.57,11455.72
34,428.24,11.25,12922.7
40,367.58,12.69,12837.23
19,373.87,8.0,6535.27
29,453.38,5.75,12391.35
39,646.84,6.06,23699.29
6,424.81,1.15,2519.51
10,230.2,28.37,1648.93
41,484.96,28.7,14177.84
42,198.0,3.09,8059.42
5,438.31,2.21,2143.01
24,296.23,12.49,6221.73
41,548.12,22.92,17322.41
22,248.51,24.78,4112.34
26,365.37,0.64,9438.63
37,564.09,8.5,19097.35
45,756.72,16.06,28583.95
29,522.89,4.05,14549.27
36,501.55,29.1,12801.71
20,463.38,7.54,8568.94
18,447.25,15.94,6767.22
40,355.95,3.29,13769.68
45,448.42,10.17,18127.17
41,596.93,3.69,23570.28
15,455.25,27.36,4960.72
15,498.42,28.5,5345.86
24,601.98,16.24,12101.37
29,360.41,10.5,9354.81
17,397.83,9.7,6106.73
49,435.81,27.71,15437.18
47,492.37,18.58,18841.5
25,413.91,12.29,9076.14
16,506.05,23.15,6222.69
50,430.88,16.06,18084.29
17,537.38,6.54,8538.08
47,401.32,7.15,17512.59
47,589.04,8.26,25399.26
21,390.12,0.48,8153.11
44,452.14,7.67,18367.23
48,476.52,18.34,18678.07
27,314.37,22.6,6569.54
5,495.64,3.4,2393.86
22,499.9,29.17,7789.98
33,725.66,14.66,20435.49
40,495.56,1.87,19452.27
2,488.64,28.2,701.7
35,774.27,8.15,24890.76
43,458.44,9.29,17881.35
19,529.1,13.78,8667.54
40,423.34,9.73,15285.58
27,394.37,5.33,10080.52
40,447.93,3.81,17233.95
36,518.9,15.29,15824.13
39,539.38,2.12,20590.88
2,470.83,21.3,741.13
41,498.54,10.26,18343.8
18,660.32,29.78,8346.35
46,379.18,1.89,17113.42
23,533.02,1.46,12080.76
26,600.63,7.55,14436.63
11,389.07,10.55,3828.33
48,284.44,24.4,10322.06
1,465.4,24.89,349.56
36,586.89,21.71,16541.53
50,490.54,24.77,18451.15
20,428.23,21.85,6693.22
31,448.98,26.19,10273.07
8,404.58,13.94,2785.58
40,683.7,8.29,25080.12
24,582.4,18.88,11338.19
20,442.56,10.94,7883.22
15,456.73,2.03,6711.98
30,699.04,25.68,15586.9
20,534.55,25.02,8015.87
38,607.84,14.89,19658.78
2,377.33,13.98,649.15
6,556.74,3.57,3221.3
42,470.98,3.78,19034.03
18,546.1,23.93,7477.23
36,418.63,25.62,11209.57
14,629.79,0.17,8802.0
26,423.73,23.52,8426.02
34,482.37,16.08,13763.54
30,258.82,13.12,6745.78
7,521.8,14.26,3131.56
30,571.32,21.39,13473.23
18,452.5,0.07,8139.2
22,523.47,1.88,11299.72
17,642.59,25.24,8166.83
31,529.93,29.93,11511.16
17,484.71,7.25,7642.84
31,526.19,12.0,14353.96
13,491.57,21.06,5044.67
27,509.28,19.94,11008.12
20,556.33,23.51,8510.51
17,401.63,27.42,4955.24
29,515.25,7.92,13758.55
39,423.91,15.81,13918.18
35,499.79,4.21,16755.36
8,565.98,29.11,3209.8
43,337.65,22.72,11220.11
38,551.96,5.62,19795.56
15,392.59,22.2,4581.84
50,482.46,23.97,18341.86
1,432.67,4.09,414.96
33,502.51,14.98,14099.19
3,512.38,24.68,1157.75
39,468.86,10.42,16381.21
38,503.25,1.51,18833.74
48,432.15,10.32,18602.04
15,420.31,23.46,4825.61
42,440.3,3.01,17935.5
18,327.78,9.31,5350.82
38,562.04,25.61,15888.38
31,387.96,4.86,11442.45
20,486.46,11.66,8594.88
7,509.53,16.63,2973.71
37,424.0,5.34,14850.64
27,575.54,21.02,12273.21
8,566.14,23.44,3467.56
14,490.8,19.04,5563.15
50,388.48,25.85,14402.15
