ingreso_mensual,edad,horas_extra_mensuales,antiguedad_meses,nivel_educativo,area_trabajo
16089.49,47,3.7,7,Preparatoria,Procesamiento
14057.55,43,0.5,17,Secundaria,Administración
16572.6,36,3.0,33,Posgrado,Extracción
19373.7,31,0.8,3,Secundaria,Procesamiento
13750.71,42,11.6,17,Universidad,Procesamiento
13750.76,39,20.7,14,Preparatoria,Procesamiento
19553.48,43,0.5,3,Universidad,Mantenimiento
16955.79,41,21.7,20,Preparatoria,Extracción
12997.68,44,5.2,6,Preparatoria,Extracción
16236.19,32,2.5,13,Universidad,Mantenimiento
13017.06,47,0.6,2,Preparatoria,Procesamiento
13009.66,38,4.9,12,Preparatoria,Procesamiento
15274.28,53,11.1,7,Preparatoria,Extracción
8377.5,30,8.6,35,Universidad,Extracción
8980.26,50,0.4,1,Preparatoria,Extracción
12700.68,38,0.5,11,Posgrado,Extracción
11258.94,31,3.6,12,Secundaria,Procesamiento
15505.59,32,2.4,26,Preparatoria,Administración
11594.32,33,1.9,17,Universidad,Extracción
9980.63,39,2.3,22,Universidad,Extracción
19190.08,40,11.4,30,Universidad,Extracción
13777.52,31,18.5,40,Posgrado,Procesamiento
14716.09,36,3.6,8,Preparatoria,Extracción
9940.81,53,16.6,15,Secundaria,Administración
12757.98,50,2.7,37,Secundaria,Mantenimiento
14854.95,39,4.5,91,Universidad,Administración
10816.82,36,1.8,44,Universidad,Administración
15702.23,37,7.2,9,Secundaria,Procesamiento
12577.96,41,27.0,4,Secundaria,Procesamiento
13566.58,28,6.5,13,Secundaria,Extracción
12574.54,34,3.1,27,Universidad,Procesamiento
20427.29,23,7.3,14,Preparatoria,Administración
14456.81,39,0.9,13,Preparatoria,Extracción
11115.33,41,15.4,36,Preparatoria,Administración
17132.14,32,4.9,9,Universidad,Extracción
10593.3,49,4.2,39,Universidad,Administración
15168.36,26,6.2,10,Preparatoria,Administración
8229.06,24,6.9,8,Secundaria,Mantenimiento
10249.8,38,0.5,12,Preparatoria,Mantenimiento
15129.96,44,8.0,29,Universidad,Procesamiento
16863.09,49,1.9,3,Posgrado,Mantenimiento
15048.38,32,8.8,4,Secundaria,Administración
14129.93,45,12.1,61,Secundaria,Mantenimiento
13536.47,36,11.4,4,Secundaria,Procesamiento
9768.73,35,5.6,17,Preparatoria,Procesamiento
12196.5,43,5.1,17,Universidad,Mantenimiento
13025.96,41,1.1,13,Secundaria,Procesamiento
17882.79,23,10.5,21,Preparatoria,Mantenimiento
15599.58,48,2.2,5,Preparatoria,Procesamiento
8858.27,47,4.8,16,Secundaria,Extracción
15537.07,31,2.3,9,Preparatoria,Procesamiento
13267.74,39,1.0,22,Secundaria,Procesamiento
12333.85,40,7.0,3,Preparatoria,Extracción
16457.36,38,0.4,17,Universidad,Extracción
17799.2,32,9.7,4,Preparatoria,Procesamiento
17480.1,31,2.7,7,Secundaria,Extracción
11814.5,36,0.0,5,Posgrado,Extracción
13510.52,45,5.0,4,Preparatoria,Mantenimiento
15560.04,40,0.3,35,Universidad,Administración
17621.74,33,2.3,7,Secundaria,Mantenimiento
12966.64,42,8.6,52,Secundaria,Administración
13905.89,18,0.5,70,Secundaria,Mantenimiento
10959.73,45,12.8,17,Secundaria,Extracción
10672.14,22,0.0,3,Preparatoria,Mantenimiento
17100.08,33,2.0,9,Posgrado,Mantenimiento
18839.97,27,9.5,32,Preparatoria,Procesamiento
14269.57,26,2.7,9,Secundaria,Extracción
17711.31,45,0.8,2,Preparatoria,Mantenimiento
15657.24,32,3.1,16,Secundaria,Extracción
12435.62,39,2.2,37,Preparatoria,Mantenimiento
15656.47,36,12.9,32,Preparatoria,Extracción
19421.72,40,2.6,4,Universidad,Procesamiento
14385.36,37,10.9,22,Posgrado,Procesamiento
19506.86,26,15.6,5,Secundaria,Extracción
8000.0,44,4.0,5,Preparatoria,Procesamiento
17130.09,32,16.9,41,Universidad,Procesamiento
14778.55,24,3.3,6,Universidad,Mantenimiento
13543.18,33,23.3,6,Preparatoria,Administración
14793.63,48,0.7,1,Posgrado,Procesamiento
8139.78,43,8.1,41,Secundaria,Mantenimiento
13797.05,33,4.8,31,Posgrado,Extracción
15642.76,33,3.4,20,Secundaria,Extracción
19229.26,33,7.0,28,Preparatoria,Extracción
12841.54,53,8.5,3,Universidad,Procesamiento
11912.82,39,0.0,12,Secundaria,Extracción
12894.38,39,1.3,9,Preparatoria,Extracción
17429.29,44,8.7,2,Preparatoria,Mantenimiento
15552.0,38,7.7,13,Posgrado,Mantenimiento
12804.77,34,23.7,51,Universidad,Procesamiento
16142.46,34,10.0,1,Universidad,Extracción
14810.65,35,21.1,7,Preparatoria,Procesamiento
17599.66,36,8.5,5,Universidad,Procesamiento
12253.43,42,2.5,5,Preparatoria,Mantenimiento
13451.48,36,0.8,48,Preparatoria,Extracción
13245.25,42,10.7,13,Universidad,Mantenimiento
9816.75,35,7.2,13,Preparatoria,Administración
15447.58,37,0.3,29,Secundaria,Extracción
15335.38,20,3.1,3,Secundaria,Administración
14516.36,43,22.0,13,Secundaria,Procesamiento
13749.32,39,4.9,11,Universidad,Extracción
9970.81,44,4.0,18,Preparatoria,Procesamiento
13153.93,18,4.3,154,Universidad,Extracción
13403.31,53,1.6,29,Preparatoria,Extracción
11932.71,35,3.2,10,Secundaria,Procesamiento
13983.89,45,3.2,35,Preparatoria,Mantenimiento
15792.96,28,0.4,4,Universidad,Administración
20535.79,41,10.2,1,Preparatoria,Mantenimiento
15058.65,28,3.8,5,Posgrado,Extracción
15324.16,31,12.1,8,Universidad,Mantenimiento
14261.77,51,13.3,14,Preparatoria,Mantenimiento
8359.93,34,1.7,19,Preparatoria,Mantenimiento
14415.16,38,7.5,48,Posgrado,Mantenimiento
14692.74,43,4.5,14,Universidad,Administración
22382.37,40,14.9,14,Secundaria,Procesamiento
13884.44,37,1.7,1,Preparatoria,Mantenimiento
15464.95,39,7.9,1,Universidad,Extracción
14388.92,55,6.6,16,Universidad,Administración
10760.23,36,2.4,12,Secundaria,Extracción
18157.03,38,1.0,37,Universidad,Extracción
16906.19,44,7.4,4,Posgrado,Extracción
17031.3,45,9.4,1,Secundaria,Mantenimiento
11589.96,45,2.7,12,Universidad,Procesamiento
18988.94,41,7.2,5,Secundaria,Procesamiento
10014.08,27,3.5,1,Secundaria,Administración
16377.94,49,8.7,26,Secundaria,Administración
21509.46,27,1.6,2,Secundaria,Extracción
11330.28,38,15.5,19,Universidad,Extracción
12687.85,30,2.4,7,Secundaria,Mantenimiento
14818.88,35,3.2,4,Secundaria,Administración
12888.88,39,0.4,10,Secundaria,Procesamiento
9537.88,39,0.8,32,Secundaria,Procesamiento
14719.4,39,5.1,10,Secundaria,Extracción
11100.63,49,2.2,28,Universidad,Mantenimiento
16015.5,40,12.6,3,Secundaria,Mantenimiento
11557.84,34,0.1,30,Universidad,Procesamiento
19459.79,44,3.3,5,Universidad,Extracción
11993.59,46,2.9,23,Secundaria,Administración
13469.4,26,0.1,17,Universidad,Procesamiento
17103.26,41,0.9,53,Secundaria,Extracción
10561.23,42,3.7,10,Secundaria,Procesamiento
15227.87,34,4.8,1,Secundaria,Mantenimiento
18682.86,47,3.6,1,Preparatoria,Procesamiento
9356.05,35,5.3,35,Preparatoria,Mantenimiento
15090.83,37,6.3,15,Universidad,Procesamiento
15331.62,35,0.1,30,Preparatoria,Administración
17001.83,36,4.4,5,Universidad,Extracción
10541.76,27,23.2,8,Secundaria,Extracción
10274.54,24,5.1,1,Universidad,Extracción
16170.21,49,7.9,65,Secundaria,Mantenimiento
15450.35,29,2.6,22,Secundaria,Mantenimiento
15301.58,28,10.4,54,Secundaria,Administración
15608.63,19,10.4,6,Secundaria,Mantenimiento
12323.92,31,5.2,19,Preparatoria,Procesamiento
15243.21,25,26.1,23,Universidad,Administración
15437.83,49,0.9,8,Secundaria,Extracción
12214.08,44,0.1,38,Universidad,Mantenimiento
20470.48,30,10.3,59,Universidad,Procesamiento
16016.27,54,11.5,43,Universidad,Mantenimiento
10687.83,44,0.9,27,Secundaria,Mantenimiento
16600.97,33,2.2,6,Preparatoria,Mantenimiento
11381.02,18,0.1,7,Universidad,Extracción
17018.67,54,2.4,66,Universidad,Procesamiento
18207.51,25,10.4,1,Preparatoria,Procesamiento
11873.82,23,5.1,25,Secundaria,Mantenimiento
17582.8,44,3.0,25,Secundaria,Procesamiento
15820.9,56,3.3,19,Preparatoria,Administración
17130.59,47,0.0,92,Universidad,Procesamiento
20569.74,41,2.5,7,Secundaria,Procesamiento
13714.76,41,7.3,8,Preparatoria,Mantenimiento
12088.04,43,25.6,2,Preparatoria,Procesamiento
11653.55,42,13.1,12,Preparatoria,Administración
11889.41,38,0.2,6,Universidad,Mantenimiento
14253.27,37,16.0,8,Universidad,Procesamiento
15591.69,35,10.7,36,Preparatoria,Extracción
15385.41,30,10.6,55,Universidad,Procesamiento
17146.99,34,4.3,4,Secundaria,Extracción
14541.61,22,3.6,9,Secundaria,Mantenimiento
19151.31,35,2.5,53,Secundaria,Extracción
13653.1,28,0.5,1,Secundaria,Extracción
23204.54,27,1.8,2,Secundaria,Extracción
16502.14,37,2.0,4,Secundaria,Extracción
11757.1,47,4.6,18,Universidad,Extracción
11073.14,43,9.6,3,Secundaria,Administración
16043.91,23,4.5,69,Universidad,Mantenimiento
13784.92,28,0.4,12,Secundaria,Mantenimiento
16784.8,44,22.2,14,Posgrado,Mantenimiento
16014.36,28,20.0,6,Universidad,Extracción
14266.95,34,10.8,13,Secundaria,Administración
11790.26,40,33.2,22,Universidad,Extracción
9652.49,28,5.5,28,Preparatoria,Extracción
13071.15,37,23.0,28,Universidad,Procesamiento
17240.48,25,0.6,17,Preparatoria,Extracción
15185.1,31,3.2,47,Preparatoria,Mantenimiento
10513.64,39,1.8,34,Universidad,Procesamiento
15054.18,23,1.5,28,Preparatoria,Mantenimiento
15733.02,40,1.1,1,Secundaria,Procesamiento
11671.66,36,6.8,1,Universidad,Extracción
14991.92,40,10.6,5,Preparatoria,Mantenimiento
14686.27,38,6.0,22,Preparatoria,Extracción
10842.5,47,1.1,11,Secundaria,Procesamiento
15644.92,37,11.7,10,Preparatoria,Extracción
16294.51,33,7.1,43,Posgrado,Procesamiento
17965.76,37,3.4,45,Secundaria,Mantenimiento
17872.17,40,7.8,48,Preparatoria,Procesamiento
10091.46,36,2.1,8,Universidad,Administración
11498.96,36,3.0,23,Universidad,Administración
16148.11,30,17.5,6,Preparatoria,Mantenimiento
16144.12,31,2.4,4,Preparatoria,Mantenimiento
16148.15,25,4.4,4,Posgrado,Extracción
26828.74,50,15.5,8,Universidad,Mantenimiento
16326.85,26,8.6,11,Secundaria,Extracción
18133.81,30,0.4,36,Secundaria,Extracción
17552.81,30,1.1,3,Preparatoria,Administración
16584.45,43,0.1,27,Secundaria,Procesamiento
13491.14,34,7.0,15,Secundaria,Procesamiento
16928.7,46,4.2,7,Universidad,Extracción
12026.96,31,1.0,14,Secundaria,Procesamiento
13742.18,38,22.2,7,Universidad,Extracción
12946.84,29,5.3,18,Secundaria,Extracción
14762.0,53,1.9,11,Universidad,Extracción
21906.91,26,4.9,4,Universidad,Procesamiento
8524.75,38,8.0,2,Secundaria,Procesamiento
16696.03,41,0.6,16,Preparatoria,Extracción
9339.31,39,2.2,47,Secundaria,Mantenimiento
12989.82,35,11.5,8,Universidad,Extracción
17984.64,35,4.3,26,Universidad,Mantenimiento
14705.7,36,5.5,21,Preparatoria,Administración
11051.22,35,4.0,54,Preparatoria,Mantenimiento
12211.03,44,0.3,34,Preparatoria,Administración
16674.71,54,1.3,17,Universidad,Administración
12162.83,32,4.1,21,Preparatoria,Procesamiento
15192.67,25,1.6,46,Secundaria,Mantenimiento
14645.83,35,0.4,10,Preparatoria,Administración
12414.88,57,13.0,8,Secundaria,Procesamiento
21360.62,30,27.8,1,Universidad,Extracción
16528.54,49,11.0,35,Secundaria,Administración
8019.54,49,13.5,32,Preparatoria,Mantenimiento
15096.65,32,1.9,2,Secundaria,Extracción
12382.28,41,22.6,17,Secundaria,Procesamiento
17227.79,49,1.5,12,Preparatoria,Mantenimiento
11963.93,33,21.2,3,Posgrado,Procesamiento
14132.84,34,36.8,79,Universidad,Mantenimiento
16115.96,31,8.7,5,Secundaria,Mantenimiento
