"Alumno","Semestre","Cr. Apr.","Carga","Promedio","Carrera","localidad","latitud","longitud"
1,11,198,19,80.21,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
2,11,235,10,84.33,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
3,9,235,10,95.25,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
4,9,226,19,95,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
5,10,231,14,82.32,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
6,9,212,23,95.02,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
7,12,221,10,79.06,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
8,9,226,9,92.47,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
9,9,231,4,91.08,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
10,11,222,13,80.42,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
11,11,235,10,81.53,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
12,10,179,23,82.69,"SISTEMAS","La Esperanza",23.921388,-105.297257
13,9,226,19,96.27,"SISTEMAS","La Esperanza",23.921388,-105.297257
14,9,226,9,94.27,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
15,10,235,10,85.14,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
16,9,231,4,89.02,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
17,9,221,14,90.5,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
18,10,212,23,85.39,"SISTEMAS","Los Caballos de Don Cruz",23.957366,-104.55193
19,9,212,19,85.13,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
20,11,165,33,78,"SISTEMAS","Las Curras",24.011718,-104.468644
21,9,221,14,90.81,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
22,10,189,18,84.59,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
23,9,215,20,89.02,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
24,12,215,15,82.66,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
25,11,230,15,84.02,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
26,11,235,10,83.84,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
27,10,235,10,83.92,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
28,11,160,28,81.46,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
29,13,205,30,79.56,"SISTEMAS","La Esperanza",23.921388,-105.297257
30,11,226,9,81.78,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
31,11,226,9,86.88,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
32,9,231,4,89.4,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
33,8,191,28,85.07,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
34,11,177,29,83.92,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
35,10,209,26,82.76,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
36,13,231,4,83.86,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
37,9,174,33,83.55,"SISTEMAS","La Esperanza",23.921388,-105.297257
38,12,197,18,83.23,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
39,9,222,13,92.21,"SISTEMAS","La Esperanza",23.921388,-105.297257
40,9,217,18,92,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
41,9,221,14,95.75,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
42,9,212,19,87.72,"SISTEMAS","La Esperanza",23.921388,-105.297257
43,13,227,8,80.53,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
44,10,226,9,82.73,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
45,13,230,5,85.04,"SISTEMAS","Los Arroyos (Las Colonias)",23.691424,-105.032756
46,9,221,14,90.71,"SISTEMAS","Victoria de Durango",24.023988,-104.670194
47,9,222,13,95.81,"SISTEMAS","La Criba (Don Toño)",24.180146,-104.548244
