No,Semestre,Cr. Apr.,Carga,Promedio
1,2,22,28,82.4
2,2,17,28,78
3,2,22,28,78.4
4,2,22,28,84.6
5,2,22,28,83.4
6,2,22,28,80.6
7,2,27,28,88.17
8,2,17,28,78
9,2,22,28,82.2
10,2,22,28,89
11,2,22,28,90.8
12,2,13,9,78.33
13,2,22,28,76.6
14,2,22,28,82
15,2,22,28,83.8
16,2,22,28,84.2
17,2,27,28,82
18,2,22,28,83.6
19,2,22,28,86.4
20,2,18,28,78.25
21,2,22,28,88
22,2,17,23,85
23,2,27,28,78.83
24,2,27,28,82.17
25,2,22,28,87.2
26,2,17,28,77.75
27,2,22,28,80
28,2,22,28,79.6
29,2,27,28,84.33
30,2,22,28,80.6
31,2,27,28,90.5
32,2,27,28,85
33,2,27,28,85.83
34,2,22,28,84
35,2,27,28,89
36,2,27,28,84.17
37,2,22,28,80.4
38,2,22,28,81
39,2,22,33,85.4
40,2,22,28,80
41,2,17,28,81.75
42,2,22,33,82.4
43,2,18,28,79.5
44,2,17,28,82.25
45,2,27,28,82.83
46,2,22,28,82
47,2,17,28,85
48,2,22,28,82.8
49,2,17,28,78.75
50,2,22,28,81.6
51,2,17,28,83
52,2,22,28,81.2
53,2,22,28,80.4
54,2,27,28,89.5
55,2,18,28,82
56,2,18,28,76.5
57,2,17,28,75.75
58,2,22,33,85.8
59,2,27,28,81
60,2,22,28,78.2
61,2,22,33,80.4
62,2,22,23,83.2
