RAMO,RAMO SIGLAS,RAMO DESCRIPCION,INSTITUCION SIGLAS,INSTITUCION NOMBRE,UR,AÑO,INDICE DE SATISFACCIÓN LABORAL
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2010,78
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2011,80
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2012,81
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2013,84
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2014,86
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2015,87
2,PRES,Presidencia de la República,PRES,Presidencia de la República,100,2016,88
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2010,73
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2011,72
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2012,77
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2013,77
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2014,76
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2015,77
4,SEGOB,Secretaría de Gobernación,AGN,Archivo General de la Nación,B00,2016,71
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2010,66
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2011,70
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2012,70
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2013,78
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2014,82
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2015,80
4,SEGOB,Secretaría de Gobernación,CENAPRED,Centro Nacional de Prevención de Desastres,H00,2016,76
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2010,75
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2011,77
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2012,75
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2013,79
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2014,79
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2015,77
4,SEGOB,Secretaría de Gobernación,CEPROPIE,Centro de Producción de Programas Informativos y Especiales,Q00,2016,86
4,SEGOB,Secretaría de Gobernación,CNA,Coordinación Nacional Antisecuestro,R00,2016,81
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2010,79
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2011,78
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2012,78
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2013,75
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2014,85
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2015,82
4,SEGOB,Secretaría de Gobernación,COMAR,Coordinación General de la Comisión Mexicana de Ayuda a Refugiados,N00,2016,84
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2010,74
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2011,72
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2012,72
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2013,74
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2014,79
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2015,78
4,SEGOB,Secretaría de Gobernación,CONAPO,Secretaría General del Consejo Nacional de Población,G00,2016,79
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2010,80
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2011,80
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2012,82
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2013,82
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2014,80
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2015,84
4,SEGOB,Secretaría de Gobernación,CONAPRED,Consejo Nacional para Prevenir la Discriminación,EZQ,2016,79
4,SEGOB,Secretaría de Gobernación,CONAVIM,Comisión Nacional para Prevenir y Erradicar la Violencia Contra las Mujeres,V00,2011,63
4,SEGOB,Secretaría de Gobernación,CONAVIM,Comisión Nacional para Prevenir y Erradicar la Violencia Contra las Mujeres,V00,2012,75
4,SEGOB,Secretaría de Gobernación,CONAVIM,Comisión Nacional para Prevenir y Erradicar la Violencia Contra las Mujeres,V00,2013,81
4,SEGOB,Secretaría de Gobernación,CONAVIM,Comisión Nacional para Prevenir y Erradicar la Violencia Contra las Mujeres,V00,2014,79
4,SEGOB,Secretaría de Gobernación,CONAVIM,Comisión Nacional para Prevenir y Erradicar la Violencia Contra las Mujeres,V00,2015,87
4,SEGOB,Secretaría de Gobernación,CONAVIM,Comisión Nacional para Prevenir y Erradicar la Violencia Contra las Mujeres,V00,2016,83
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2010,65
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2011,69
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2012,71
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2013,78
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2014,79
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2015,79
4,SEGOB,Secretaría de Gobernación,INAFED,Instituto Nacional para el Federalismo y el Desarrollo Municipal,A00,2016,77
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2010,80
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2011,79
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2012,81
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2013,81
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2014,82
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2015,84
4,SEGOB,Secretaría de Gobernación,INM,Instituto Nacional de Migración,K00,2016,82
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2010,71
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2011,74
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2012,78
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2013,77
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2014,76
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2015,77
4,SEGOB,Secretaría de Gobernación,PF,Policía Federal  ,C00,2016,77
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2010,70
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2011,72
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2012,73
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2013,69
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2014,70
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2015,69
4,SEGOB,Secretaría de Gobernación,PRERES,Prevención y Readaptación Social,E00,2016,66
