Alumno,Semestre,Cr. Apr.,Carga,Promedio,Carrera
1,11,198,19,80.21,SISTEMAS
2,11,235,10,84.33,SISTEMAS
3,9,235,10,95.25,SISTEMAS
4,9,226,19,95,SISTEMAS
5,10,231,14,82.32,SISTEMAS
6,9,212,23,95.02,SISTEMAS
7,12,221,10,79.06,SISTEMAS
8,9,226,9,92.47,SISTEMAS
9,9,231,4,91.08,SISTEMAS
10,11,222,13,80.42,SISTEMAS
11,11,235,10,81.53,SISTEMAS
12,10,179,23,82.69,SISTEMAS
13,9,226,19,96.27,SISTEMAS
14,9,226,9,94.27,SISTEMAS
15,10,235,10,85.14,SISTEMAS
16,9,231,4,89.02,SISTEMAS
17,9,221,14,90.5,SISTEMAS
18,10,212,23,85.39,SISTEMAS
19,9,212,19,85.13,SISTEMAS
20,11,165,33,78,SISTEMAS
21,9,221,14,90.81,SISTEMAS
22,10,189,18,84.59,SISTEMAS
23,9,215,20,89.02,SISTEMAS
24,12,215,15,82.66,SISTEMAS
25,11,230,15,84.02,SISTEMAS
26,11,235,10,83.84,SISTEMAS
27,10,235,10,83.92,SISTEMAS
28,11,160,28,81.46,SISTEMAS
29,13,205,30,79.56,SISTEMAS
30,11,226,9,81.78,SISTEMAS
31,11,226,9,86.88,SISTEMAS
32,9,231,4,89.4,SISTEMAS
33,8,191,28,85.07,SISTEMAS
34,11,177,29,83.92,SISTEMAS
35,10,209,26,82.76,SISTEMAS
36,13,231,4,83.86,SISTEMAS
37,9,174,33,83.55,SISTEMAS
38,12,197,18,83.23,SISTEMAS
39,9,222,13,92.21,SISTEMAS
40,9,217,18,92,SISTEMAS
41,9,221,14,95.75,SISTEMAS
42,9,212,19,87.72,SISTEMAS
43,13,227,8,80.53,SISTEMAS
44,10,226,9,82.73,SISTEMAS
45,13,230,5,85.04,SISTEMAS
46,9,221,14,90.71,SISTEMAS
47,9,222,13,95.81,SISTEMAS
48,9,212,4,91.28,SISTEMAS
49,9,226,9,88.94,SISTEMAS
50,10,203,23,84.68,SISTEMAS
51,9,173,24,83.53,SISTEMAS
