"","nombres","edades"
"1","CARLOS",25
"2","JUAN",20
"3","CARLOS",18
"4","RUBEN",16
"5","ADRIANA",19
"6","JUAN",14
"7","LAURA",23
"8","HECTOR",17
"9","PATY",12
"10","CARLOS",19
"11","HECTOR",16
"12","ADRIANA",18
"13","JUAN",22
"14","JUAN",15
"15","CARLOS",14
"16","LAURA",22
"17","CARLOS",23
"18","JUAN",16
"19","CARLOS",23
"20","RUBEN",25
"21","PATY",15
"22","LAURA",19
"23","LAURA",19
"24","CARLOS",22
"25","HECTOR",17
"26","PATY",18
"27","CARLOS",16
"28","LAURA",21
"29","ADRIANA",22
"30","CARLOS",19
"31","CARLOS",26
"32","PATY",18
"33","PATY",20
"34","RUBEN",23
"35","CARLOS",17
"36","LAURA",23
"37","LAURA",18
"38","HECTOR",19
"39","JUAN",29
"40","JUAN",20
"41","CARLOS",17
"42","JUAN",22
"43","CARLOS",16
"44","LAURA",21
"45","LAURA",32
"46","HECTOR",17
"47","JUAN",20
"48","CARLOS",20
"49","LAURA",17
"50","HECTOR",14
"51","HECTOR",21
"52","PATY",18
"53","JUAN",16
"54","JUAN",17
"55","HECTOR",18
"56","CARLOS",16
"57","HECTOR",24
"58","ADRIANA",18
"59","PATY",22
"60","RUBEN",16
"61","RUBEN",20
"62","PATY",22
"63","CARLOS",25
"64","CARLOS",19
"65","JUAN",19
"66","RUBEN",18
"67","CARLOS",19
"68","ADRIANA",18
"69","JUAN",16
"70","LAURA",23
"71","CARLOS",27
"72","PATY",21
"73","HECTOR",16
"74","JUAN",16
"75","RUBEN",14
"76","JUAN",18
"77","HECTOR",22
"78","CARLOS",11
"79","ADRIANA",22
"80","CARLOS",27
"81","ADRIANA",26
"82","RUBEN",17
"83","CARLOS",22
"84","CARLOS",27
"85","CARLOS",28
"86","HECTOR",21
"87","LAURA",23
"88","CARLOS",15
"89","CARLOS",17
"90","JUAN",20
"91","LAURA",26
"92","ADRIANA",21
"93","JUAN",28
"94","HECTOR",26
"95","JUAN",18
"96","LAURA",22
"97","LAURA",27
"98","ADRIANA",21
"99","RUBEN",19
"100","CARLOS",4
