"","Mapa","Cve_Ent","Nom_Ent","Nom_Abr","Cve_Mun","Nom_Mun","Cve_Loc","Nom_Loc","Ámbito","Latitud","Longitud","Lat_Decimal","Lon_Decimal","Altitud","Cve_Carta","Pob_Total","Pob_Masculina","Pob_Femenina","Total De Viviendas Habitadas"
"1","100050001","10","Durango","Dgo.","005","Durango","0001","Victoria de Durango","U","24°01´26.357""N","104°40´12.700""W",24.023988,-104.670194,1890,"G13D81","518709","250073","268636","133191"
"2","100050127","10","Durango","Dgo.","005","Durango","0127","Abraham González","R","24°12´46.397""N","104°31´51.778""W",24.212888,-104.531049,1859,"G13D82","880","431","449","199"
"3","100050128","10","Durango","Dgo.","005","Durango","0128","La Joya (Alcalde)","R","24°04´07.936""N","104°29´45.554""W",24.068871,-104.495987,1856,"G13D82","22","15","7","6"
"4","100050129","10","Durango","Dgo.","005","Durango","0129","Antonio Castillo","R","24°01´48.718""N","104°33´34.275""W",24.030199,-104.559521,1863,"G13D82","137","72","65","31"
"5","100050130","10","Durango","Dgo.","005","Durango","0130","Antonio Gaxiola (La Carreta)","R","23°57´12.441""N","104°27´01.077""W",23.953456,-104.450299,1875,"F13B12","202","101","101","54"
"6","100050131","10","Durango","Dgo.","005","Durango","0131","Aquiles Serdán","R","23°56´33.977""N","104°34´54.386""W",23.942771,-104.581774,1876,"F13B12","702","342","360","154"
"7","100050132","10","Durango","Dgo.","005","Durango","0132","El Arenal (San Jerónimo)","R","24°03´37.384""N","104°25´54.292""W",24.060384,-104.431748,1856,"G13D82","1015","499","516","276"
"8","100050134","10","Durango","Dgo.","005","Durango","0134","Los Artículos","R","23°54´56.917""N","105°08´33.533""W",23.91581,-105.142648,2440,"F13A19","28","13","15","8"
"9","100050136","10","Durango","Dgo.","005","Durango","0136","Banderas del Águila","R","23°55´29.540""N","105°20´28.871""W",23.924872,-105.341353,2407,"F13A18","1274","649","625","295"
"10","100050137","10","Durango","Dgo.","005","Durango","0137","Los Batres","R","24°12´18.191""N","104°42´09.291""W",24.205053,-104.702581,1898,"G13D81","3","*","*","1"
"11","100050138","10","Durango","Dgo.","005","Durango","0138","Belisario Domínguez","R","24°01´35.947""N","104°30´36.028""W",24.026652,-104.510008,1859,"G13D82","415","201","214","103"
"12","100050140","10","Durango","Dgo.","005","Durango","0140","La Boca del Mezquital","R","23°46´16.283""N","104°26´41.251""W",23.77119,-104.444792,1897,"F13B12","152","77","75","35"
"13","100050141","10","Durango","Dgo.","005","Durango","0141","Calera","R","24°06´24.277""N","104°34´17.972""W",24.106744,-104.571659,1868,"G13D82","206","99","107","48"
"14","100050142","10","Durango","Dgo.","005","Durango","0142","El Capulín","R","23°52´12.679""N","104°30´17.748""W",23.870189,-104.50493,1917,"F13B12","0","0","0","0"
"15","100050143","10","Durango","Dgo.","005","Durango","0143","El Carmen y Anexos","R","24°16´48.591""N","104°43´31.897""W",24.280164,-104.725527,1907,"G13D71","431","215","216","98"
"16","100050145","10","Durango","Dgo.","005","Durango","0145","El Carrizo","R","23°56´33.212""N","104°48´48.517""W",23.942559,-104.813477,2243,"F13B11","173","94","79","39"
"17","100050146","10","Durango","Dgo.","005","Durango","0146","La Casita","R","23°43´39.710""N","104°47´01.300""W",23.727697,-104.783694,2139,"F13B21","12","10","2","4"
"18","100050147","10","Durango","Dgo.","005","Durango","0147","Cerro Prieto Dos","R","24°18´56.085""N","104°25´28.838""W",24.315579,-104.424677,1890,"G13D72","0","0","0","0"
"19","100050148","10","Durango","Dgo.","005","Durango","0148","Ciénega de los Caballos","R","23°46´46.934""N","104°59´51.429""W",23.779704,-104.997619,2561,"F13B11","18","9","9","4"
"20","100050149","10","Durango","Dgo.","005","Durango","0149","Cinco de Febrero","R","24°04´32.323""N","104°30´11.704""W",24.075645,-104.503251,1857,"G13D82","1131","555","576","271"
"21","100050150","10","Durango","Dgo.","005","Durango","0150","Cinco de Mayo","U","24°06´02.149""N","104°34´22.354""W",24.100597,-104.572876,1863,"G13D82","2249","1061","1188","509"
"22","100050151","10","Durango","Dgo.","005","Durango","0151","Contreras","R","24°02´23.586""N","104°33´18.142""W",24.039885,-104.555039,1872,"G13D82","878","409","469","208"
"23","100050152","10","Durango","Dgo.","005","Durango","0152","Corral de Barranco","R","23°59´36.553""N","105°13´02.708""W",23.993487,-105.217419,2485,"F13A19","112","59","53","22"
"24","100050153","10","Durango","Dgo.","005","Durango","0153","Cristóbal Colón","R","24°01´00.813""N","104°35´21.760""W",24.016893,-104.589378,1870,"G13D82","287","150","137","69"
"25","100050154","10","Durango","Dgo.","005","Durango","0154","Ojo de Agua del Cazador (Cruz de Piedra)","R","23°51´55.362""N","105°16´14.219""W",23.865378,-105.270616,2430,"F13A19","134","80","54","29"
"26","100050156","10","Durango","Dgo.","005","Durango","0156","Rancho Chapultepec","R","24°14´37.319""N","104°25´57.610""W",24.2437,-104.432669,1860,"G13D82","0","0","0","0"
