entidad,nom_ent,mun,nom_mun,loc,nom_loc,longitud,latitud,altitud,pobtot,pobmas,pobfem
10,Durango,1,Canatlán,0,Total del Municipio,,,,31401,15633,15768
10,Durango,1,Canatlán,1,Canatlán,1044642,243139,1948,11495,5482,6013
10,Durango,1,Canatlán,4,Colonia Anáhuac (Palo Blanco),1043639,242436,1950,897,447,450
10,Durango,1,Canatlán,5,Arnulfo R. Gómez (Los Sauces),1045230,244328,1982,768,372,396
10,Durango,1,Canatlán,10,Benjamín Aranda (San Rafael),1044607,241914,1933,332,187,145
10,Durango,1,Canatlán,12,Bruno Martínez (San Bartolo),1043901,243109,1940,756,376,380
10,Durango,1,Canatlán,22,La Cañada,1044620,243304,1957,42,24,18
10,Durango,1,Canatlán,26,Los Herrera,1045209,244508,1960,6,NA,NA
10,Durango,1,Canatlán,28,Cerro Gordo,1044220,241916,1913,389,194,195
10,Durango,1,Canatlán,29,Cieneguitas,1045917,243441,2467,56,27,29
10,Durango,1,Canatlán,35,El Chaparro de los Díaz (Chaparro Díaz),1044212,243718,1941,2,NA,NA
10,Durango,1,Canatlán,41,Dolores Hidalgo (Gogogito),1043655,243701,2022,187,94,93
10,Durango,1,Canatlán,42,Donato Guerra,1043819,243654,1980,769,396,373
10,Durango,1,Canatlán,43,Durangueño (Corralitos),1045405,242442,2437,20,9,11
10,Durango,1,Canatlán,45,José Guadalupe Aguilera (La Granja),1044159,242630,1927,324,261,63
10,Durango,1,Canatlán,47,El Refugio (La Esperanza),1044406,242204,1919,3,NA,NA
10,Durango,1,Canatlán,48,El Faisán de las Tapias,1051101,242920,2044,5,NA,NA
10,Durango,1,Canatlán,49,Francisco Zarco (Las Delicias),1044943,243800,2017,208,112,96
10,Durango,1,Canatlán,52,Gomelia,1051353,243307,2042,142,76,66
10,Durango,1,Canatlán,59,Hermenegildo Galeana,1045307,241806,2626,20,10,10
10,Durango,1,Canatlán,60,Ignacio M. Altamirano (La Luz),1044313,243552,1940,545,271,274
10,Durango,1,Canatlán,62,José Cruz Gálvez (Cañas),1044546,244547,1980,241,131,110
10,Durango,1,Canatlán,63,José Guadalupe Aguilera (Santa Lucía),1044232,242716,1927,1719,858,861
10,Durango,1,Canatlán,66,Lirios de la Sierra,1052716,243041,2567,68,30,38
10,Durango,1,Canatlán,67,Los Lirios,1045207,243959,2059,151,78,73
10,Durango,1,Canatlán,69,Predio las Macheras,1044430,243009,1940,18,11,7
10,Durango,1,Canatlán,71,Marquesotes de Guadalupe (Canelas),1052457,242816,2556,110,57,53
10,Durango,1,Canatlán,72,General Martín López,1044500,242736,1932,892,457,435
10,Durango,1,Canatlán,73,Maymorita,1051151,243122,2060,213,109,104
10,Durango,1,Canatlán,74,Medina,1043801,243344,2002,407,209,198
10,Durango,1,Canatlán,76,Rancho Mesa de Guadalupe,1051616,242222,2635,3,NA,NA
10,Durango,1,Canatlán,78,Miguel Hidalgo (Viborillas),1044142,244042,1977,117,62,55
10,Durango,1,Canatlán,83,Nicolás Bravo,1044436,242330,1928,1253,619,634
10,Durango,1,Canatlán,84,Nogales,1044452,242645,1932,397,216,181
10,Durango,1,Canatlán,92,La Loma,1044405,243313,1940,6,3,3
10,Durango,1,Canatlán,93,Marquezotes de Guadalupe (Los Ojitos),1052349,242759,2578,88,44,44
10,Durango,1,Canatlán,98,Piedra Encimada,1045114,244151,2033,41,22,19
10,Durango,1,Canatlán,100,La Plazuela (El Rayo),1052354,242229,2450,385,186,199
10,Durango,1,Canatlán,102,El Pozole,1044712,243422,1977,247,119,128
10,Durango,1,Canatlán,104,El Progreso (Los Pinos),1045015,243815,2017,542,276,266
10,Durango,1,Canatlán,105,Puerto de Cañas (La Noria),1044416,244413,1962,7,6,1
10,Durango,1,Canatlán,107,Rancho Colorado (Rancho el Cura),1045038,243343,2008,6,NA,NA
10,Durango,1,Canatlán,108,Manuel Jiménez (Rancho Seco),1044859,243642,1997,46,23,23
10,Durango,1,Canatlán,110,Ricardo Flores Magón,1043149,242741,2040,1467,729,738
10,Durango,1,Canatlán,112,San Diego de Alcalá,1051014,242742,2064,266,137,129
10,Durango,1,Canatlán,114,San Jerónimo de Jacales,1051348,242424,2340,103,51,52
10,Durango,1,Canatlán,115,San José de Gracia,1044428,242832,1934,1256,617,639
10,Durango,1,Canatlán,116,San Lorenzo,1052529,242443,2471,24,13,11
10,Durango,1,Canatlán,118,Santa Ana,1051204,242443,2224,2,NA,NA
10,Durango,1,Canatlán,119,Santa Rosa de Escamillas,1051507,243447,2033,107,62,45
10,Durango,1,Canatlán,120,Santa Susana,1045555,244413,2016,21,11,10
10,Durango,1,Canatlán,121,Santa Teresa de los Pinos,1045317,243421,2084,69,42,27
10,Durango,1,Canatlán,123,La Sauceda,1044457,243127,1940,704,346,358
10,Durango,1,Canatlán,124,El Sauz Bendito,1044227,242117,1918,2,NA,NA
10,Durango,1,Canatlán,127,La Soledad,1045544,244538,1986,932,467,465
10,Durango,1,Canatlán,130,El Tule,1051217,243522,2135,145,79,66
10,Durango,1,Canatlán,133,Veintidós de Mayo,1044610,241839,1934,258,128,130
10,Durango,1,Canatlán,134,Venustiano Carranza (Ocotán),1043732,242823,1972,1259,631,628
10,Durango,1,Canatlán,149,Rancho el Papalote,1044339,244341,1960,2,NA,NA
10,Durango,1,Canatlán,151,Magueycitos,1044703,244030,1957,2,NA,NA
