no,semetre,promedio,carrera
1,7,82.27,ARQUITECTURA
2,11,82.59,ARQUITECTURA
3,8,87.47,ARQUITECTURA
4,12,83.18,ARQUITECTURA
5,11,83.72,ARQUITECTURA
6,4,90.11,ARQUITECTURA
7,4,91.11,ARQUITECTURA
8,9,85.12,ARQUITECTURA
9,7,83.9,ARQUITECTURA
10,6,87.94,ARQUITECTURA
11,2,85.6,ARQUITECTURA
12,7,86.11,ARQUITECTURA
13,8,85.72,ARQUITECTURA
14,4,82.14,ARQUITECTURA
15,8,84.08,ARQUITECTURA
16,7,82.3,ARQUITECTURA
17,10,88.58,ARQUITECTURA
18,9,81.72,ARQUITECTURA
19,6,83.23,ARQUITECTURA
20,8,80.86,ARQUITECTURA
21,4,82.5,ARQUITECTURA
22,4,81.13,ARQUITECTURA
23,8,79.84,ARQUITECTURA
24,4,89.78,ARQUITECTURA
25,4,83.67,ARQUITECTURA
26,6,87.33,ARQUITECTURA
27,8,82.5,ARQUITECTURA
28,4,88,ARQUITECTURA
29,8,78.84,ARQUITECTURA
30,8,90.2,ARQUITECTURA
31,7,81.63,ARQUITECTURA
32,6,88.03,ARQUITECTURA
33,4,83.13,ARQUITECTURA
34,9,82.58,ARQUITECTURA
35,9,84.76,ARQUITECTURA
36,7,88.2,ARQUITECTURA
37,7,87.69,ARQUITECTURA
38,4,95.79,ARQUITECTURA
39,6,83.48,ARQUITECTURA
40,4,88.83,ARQUITECTURA
41,6,87.89,ARQUITECTURA
42,4,85.44,ARQUITECTURA
43,5,84,ARQUITECTURA
44,6,85.21,ARQUITECTURA
45,12,84.17,ARQUITECTURA
46,6,85.59,ARQUITECTURA
47,4,91.17,ARQUITECTURA
48,9,81.76,ARQUITECTURA
49,5,78.44,ARQUITECTURA
50,5,87.08,ARQUITECTURA
51,12,86.81,ARQUITECTURA
52,5,84.55,ARQUITECTURA
53,11,82.21,ARQUITECTURA
54,9,74.85,ARQUITECTURA
55,4,82.31,ARQUITECTURA
56,6,88.17,ARQUITECTURA
57,8,82.05,ARQUITECTURA
58,5,80.85,ARQUITECTURA
59,8,85.22,ARQUITECTURA
60,9,81.74,ARQUITECTURA
61,8,89.53,ARQUITECTURA
62,7,81.3,ARQUITECTURA
63,10,78.76,ARQUITECTURA
64,6,87.1,ARQUITECTURA
65,5,78,ARQUITECTURA
66,7,85,ARQUITECTURA
67,8,86.15,ARQUITECTURA
68,6,81.06,ARQUITECTURA
69,4,85.59,ARQUITECTURA
70,5,87.42,ARQUITECTURA
71,9,82.33,ARQUITECTURA
72,4,80.67,ARQUITECTURA
73,10,85.06,ARQUITECTURA
74,4,86.64,ARQUITECTURA
75,5,92.17,ARQUITECTURA
76,5,83.45,ARQUITECTURA
77,5,80.58,ARQUITECTURA
78,7,92.11,ARQUITECTURA
79,5,80.47,ARQUITECTURA
80,7,86.69,ARQUITECTURA
81,6,89.87,ARQUITECTURA
82,5,88.95,ARQUITECTURA
83,6,88.1,ARQUITECTURA
84,5,84.2,ARQUITECTURA
85,8,85.56,ARQUITECTURA
86,4,90.72,ARQUITECTURA
87,5,77,ARQUITECTURA
88,8,92.09,ARQUITECTURA
89,5,86.9,ARQUITECTURA
90,6,85.83,ARQUITECTURA
91,7,84.59,ARQUITECTURA
92,8,83.97,ARQUITECTURA
93,7,87.69,ARQUITECTURA
94,5,83.69,ARQUITECTURA
95,4,84.61,ARQUITECTURA
96,7,83.29,ARQUITECTURA
97,11,86.77,ARQUITECTURA
98,10,83.83,ARQUITECTURA
99,5,82.96,ARQUITECTURA
100,4,90.58,ARQUITECTURA
