"","matricula","carrera","genero","promedio","edad","peso","altura"
"1",1,"CIVIL","M",83.83,20,74.29,174.29
"2",2,"ELECTRICA","M",86.64,21,77.86,177.86
"3",3,"INFORMATICA","F",83.11,20,58.94,158.94
"4",4,"TIC","F",91.53,23,62.3,162.3
"5",5,"BIOQUIMICA","M",87.14,21,78.11,178.11
"6",6,"TIC","F",83.16,20,62.59,162.59
"7",7,"QUIMICA","F",87.69,21,57.02,157.02
"8",8,"MECANICA","F",88.56,22,57.93,157.93
"9",9,"MECANICA","F",87.99,22,57.6,157.6
"10",10,"ARQUITECTURA","M",84.94,21,75.41,175.41
"11",11,"BIOQUIMICA","M",91.24,23,78.14,178.14
"12",12,"BIOQUIMICA","M",87.35,21,79.64,179.64
"13",13,"MECANICA","F",83.85,20,58.39,158.39
"14",14,"ELECTRICA","M",78.33,19,80.01,180.01
"15",15,"SISTEMAS","F",89.9,22,62.21,162.21
"16",16,"INDUSTRIAL","M",85.84,21,83.02,183.02
"17",17,"MECATRONICA","F",85.94,21,56.18,156.18
"18",18,"QUIMICA","F",89.27,22,60.66,160.66
"19",19,"ELECTRICA","M",88.84,22,76.37,176.37
"20",20,"SISTEMAS","F",88.06,22,59.61,159.61
"21",21,"QUIMICA","F",89.18,22,60.08,160.08
"22",22,"BIOQUIMICA","M",88.71,22,77.89,177.89
"23",23,"MECANICA","F",86.26,21,58.18,158.18
"24",24,"ADMINISTRACION","M",79.11,19,80.39,180.39
"25",25,"CIVIL","M",88.15,22,80.21,180.21
"26",26,"ELECTRONICA","M",85.81,21,74.54,174.54
"27",27,"ARQUITECTURA","M",85.46,21,77.04,177.04
"28",28,"ELECTRICA","M",80.91,20,84.11,184.11
"29",29,"TIC","F",84.34,21,58.68,158.68
"30",30,"ELECTRICA","M",87.45,21,81.76,181.76
"31",31,"INDUSTRIAL","M",90.71,22,79.38,179.38
"32",32,"INFORMATICA","F",85.64,21,58.46,158.46
"33",33,"INDUSTRIAL","M",87.34,21,80.26,180.26
"34",34,"BIOQUIMICA","M",85.81,21,80.53,180.53
"35",35,"SISTEMAS","F",81.23,20,61.8,161.8
"36",36,"MECANICA","F",84.56,21,59.53,159.53
"37",37,"SISTEMAS","F",84.63,21,58.09,158.09
"38",38,"ADMINISTRACION","M",85.79,21,75.9,175.9
"39",39,"MECATRONICA","F",89.81,22,54.31,154.31
"40",40,"ELECTRONICA","M",88.64,22,81.7,181.7
"41",41,"SISTEMAS","F",85.43,21,60.05,160.05
"42",42,"MECANICA","F",85.12,21,62.34,162.34
"43",43,"SISTEMAS","F",88.41,22,58.87,158.87
"44",44,"INFORMATICA","F",87.93,22,61.45,161.45
"45",45,"INDUSTRIAL","F",83.61,20,61.09,161.09
"46",46,"SISTEMAS","F",83.55,20,57.3,157.3
"47",47,"ARQUITECTURA","M",87.26,21,79.99,179.99
"48",48,"INDUSTRIAL","M",88.66,22,85.02,185.02
"49",49,"MECATRONICA","F",85.61,21,57.78,157.78
"50",50,"MECATRONICA","F",89.05,22,60.13,160.13
"51",51,"INDUSTRIAL","M",87.38,21,82.08,182.08
"52",52,"TIC","F",83.88,20,59.48,159.48
"53",53,"ELECTRONICA","M",87.18,21,82.36,182.36
"54",54,"CIVIL","M",82.09,20,81.71,181.71
"55",55,"ARQUITECTURA","M",90.96,22,77.36,177.36
"56",56,"ADMINISTRACION","M",92.86,23,80.43,180.43
"57",57,"ELECTRICA","M",84.73,21,79.1,179.1
"58",58,"INDUSTRIAL","F",82.38,20,61.04,161.04
