FACT,KWH,IMPORTE,,,
may-13,336,$475.00,,,
jul-13,380,$627.00,,,
sep-13,313,$404.00,,,
nov-13,315,$393.00,,,
ene-14,370,$557.00,,,
mar-14,252,$266.00,,,
may-14,310,$405.00,,,
jul-14,309,$404.00,,,
sep-14,354,$565.00,,,
nov-14,329,$408.00,,,
ene-15,511,"$1,131.00",,,
mar-15,328,$470.00,,,
may-15,338,$505.00,,,
jul-15,312,$415.00,,,
sep-15,395,$703.00,,,
nov-15,360,$652.00,,,
ene-16,378,$645.00,,,
mar-16,301,$368.00,,,
may-16,334,$482.00,,,
jul-16,409,$737.00,,,
sep-16,362,$577.00,,,
nov-16,365,$582.00,,,
ene-17,427,$781.00,,,
mar-17,264,$259.00,,,
may-17,395,$679.00,,,
jul-17,399,$682.00,,,
,,,,,
