FACT,KWH,IMPORTE
abr-13,152,$142.00
jun-13,178,$173.00
ago-16,162,$155.00
oct-13,147,$140.00
dic-13,133,$121.00
feb-14,145,$140.00
abr-14,130,$127.00
jun-14,175,$177.00
ago-14,182,$186.00
oct-14,164,$167.00
dic-14,136,$136.00
feb-15,152,$150.00
abr-15,135,$134.00
jun-15,172,$174.00
ago-15,188,$193.00
oct-15,150,$148.00
dic-15,151,$149.00
feb-16,135,$131.00
abr-16,166,$164.00
jun-16,134,$129.00
ago-16,192,$194.00
oct-16,165,$163.00
dic-16,200,$203.00
feb-17,147,$143.00
abr-17,162,$159.00
jun-17,146,$141.00
ago-17,200,$203.00
