FACT,KWH,IMPORTE
abr-13,137, $128.00 
jun-13,198, $195.00 
ago-13,142, $134.00 
oct-13,186, $185.00 
dic-13,185, $175.00 
feb-14,152, $148.00 
abr-14,146, $142.00 
nov-14,604, $471.00 
dic-14,123, $495.00 
feb-15,656," $1,398.00 "
feb-15,87, $-   
abr-15,191, $197.00 
jun-15,162, $162.00 
ago-15,167, $168.00 
oct-15,149, $148.00 
dic-15,114, $112.00 
feb-16,89, $-   
abr-16,126, $96.00 
jun-16,98, $95.00 
ago-16,165, $162.00 
oct-16,152, $148.00 
dic-16,147, $142.00 
feb-17,106, $103.00 
abr-17,74, $71.00 
jun-17,19, $49.00 
ago-17,146, $141.00 
