factura ,KWH,IMPORTE
may-13,180,$174.00
jul-13,229,$232.00
sep-13,190,$189.00
nov-13,244,$240.00
ene-14,285,$298.00
mar-14,248,$261.00
may-14,269,$288.00
jul-14,238,$252.00
sep-14,228,$243.00
nov-14,224,$239.00
ene-15,259,$284.00
mar-15,246,$262.00
may-15,334,$491.00
jul-15,113,$112.00
sep-15,223,$235.00
nov-15,197,$204.00
ene-16,214,$224.00
mar-16,229,$237.00
may-16,232,$321.00
jul-16,103,$99.00
sep-16,81,$79.00
nov-16,107,$82.00
ene-17,135,$131.00
mar-17,176,$175.00
may-17,207,$207.00
jul-17,193,$195.00
