CARRERA,Semestre,Promedio
ADMINISTRACION,1,77.75
ADMINISTRACION,1,81.14
ADMINISTRACION,1,85.75
ADMINISTRACION,2,75
ADMINISTRACION,2,75
ADMINISTRACION,2,75.17
ADMINISTRACION,2,75.33
ADMINISTRACION,2,75.8
ADMINISTRACION,2,76
ADMINISTRACION,2,78.5
ADMINISTRACION,2,80
ADMINISTRACION,2,81.17
ADMINISTRACION,2,82.5
ADMINISTRACION,2,82.8
ADMINISTRACION,2,83
ADMINISTRACION,2,83.5
ADMINISTRACION,2,83.5
ADMINISTRACION,2,83.67
ADMINISTRACION,2,84
ADMINISTRACION,2,84.14
ADMINISTRACION,2,84.67
ADMINISTRACION,2,84.67
ADMINISTRACION,2,84.75
ADMINISTRACION,2,84.83
ADMINISTRACION,2,84.83
ADMINISTRACION,2,85.33
ADMINISTRACION,2,85.5
ADMINISTRACION,2,85.5
ADMINISTRACION,2,85.67
ADMINISTRACION,2,85.67
ADMINISTRACION,2,86.17
ADMINISTRACION,2,86.2
ADMINISTRACION,2,86.33
ADMINISTRACION,2,86.33
ADMINISTRACION,2,86.4
ADMINISTRACION,2,86.67
ADMINISTRACION,2,86.83
ADMINISTRACION,2,87
ADMINISTRACION,2,87
ADMINISTRACION,2,87.17
ADMINISTRACION,2,87.25
ADMINISTRACION,2,87.33
ADMINISTRACION,2,87.67
ADMINISTRACION,2,87.83
ADMINISTRACION,2,88
ADMINISTRACION,2,88
ADMINISTRACION,2,88
ADMINISTRACION,2,88.17
ADMINISTRACION,2,88.33
ADMINISTRACION,2,88.33
ADMINISTRACION,2,88.5
ADMINISTRACION,2,89
ADMINISTRACION,2,89.17
ADMINISTRACION,2,89.5
ADMINISTRACION,2,89.83
ADMINISTRACION,2,90.2
ADMINISTRACION,2,90.6
ADMINISTRACION,2,91
ADMINISTRACION,2,91.17
ADMINISTRACION,2,91.17
ADMINISTRACION,2,91.6
ADMINISTRACION,2,92.33
ADMINISTRACION,2,94.67
ADMINISTRACION,3,77.11
ADMINISTRACION,3,82.22
ADMINISTRACION,3,82.8
ADMINISTRACION,3,83.13
ADMINISTRACION,3,83.2
ADMINISTRACION,3,84.09
ADMINISTRACION,3,84.1
ADMINISTRACION,3,84.25
ADMINISTRACION,3,85
ADMINISTRACION,3,85.33
ADMINISTRACION,3,85.5
ADMINISTRACION,3,86
ADMINISTRACION,3,87.9
ADMINISTRACION,3,88.23
ADMINISTRACION,3,88.23
ADMINISTRACION,3,88.92
ADMINISTRACION,3,89.18
ADMINISTRACION,3,89.36
ADMINISTRACION,3,89.92
ADMINISTRACION,3,90.23
ADMINISTRACION,3,90.27
ADMINISTRACION,3,90.42
ADMINISTRACION,3,90.45
ADMINISTRACION,3,90.5
ADMINISTRACION,3,90.55
ADMINISTRACION,3,90.58
ADMINISTRACION,3,90.73
ADMINISTRACION,3,90.92
ADMINISTRACION,3,91
ADMINISTRACION,3,91.17
ADMINISTRACION,3,91.25
ADMINISTRACION,3,91.3
ADMINISTRACION,3,91.5
ADMINISTRACION,3,91.73
ADMINISTRACION,3,91.75
ADMINISTRACION,3,92.4
ADMINISTRACION,3,92.42
ADMINISTRACION,3,92.67
ADMINISTRACION,3,92.67
ADMINISTRACION,3,92.92
ADMINISTRACION,3,93.17
ADMINISTRACION,3,93.58
ADMINISTRACION,3,93.75
ADMINISTRACION,3,93.75
ADMINISTRACION,3,94.17
ADMINISTRACION,3,95.08
ADMINISTRACION,3,95.17
ADMINISTRACION,3,95.33
ADMINISTRACION,3,95.45
ADMINISTRACION,3,96.83
ADMINISTRACION,3,96.92
ADMINISTRACION,4,81.53
ADMINISTRACION,4,82
ADMINISTRACION,4,82.89
ADMINISTRACION,4,82.91
ADMINISTRACION,4,83
ADMINISTRACION,4,83
ADMINISTRACION,4,85.07
ADMINISTRACION,4,85.13
ADMINISTRACION,4,85.33
ADMINISTRACION,4,85.35
ADMINISTRACION,4,85.47
ADMINISTRACION,4,85.53
ADMINISTRACION,4,86
ADMINISTRACION,4,86.53
ADMINISTRACION,4,86.65
ADMINISTRACION,4,86.83
ADMINISTRACION,4,86.88
ADMINISTRACION,4,86.89
ADMINISTRACION,4,87.6
ADMINISTRACION,4,87.63
ADMINISTRACION,4,88.5
ADMINISTRACION,4,88.56
ADMINISTRACION,4,88.83
ADMINISTRACION,4,89.21
ADMINISTRACION,4,89.5
ADMINISTRACION,4,89.71
ADMINISTRACION,4,90.16
ADMINISTRACION,4,90.53
ADMINISTRACION,4,91.06
ADMINISTRACION,4,91.32
ADMINISTRACION,4,93
ADMINISTRACION,4,93.56
ADMINISTRACION,5,76.55
ADMINISTRACION,5,80.17
ADMINISTRACION,5,81.07
ADMINISTRACION,5,81.08
ADMINISTRACION,5,82.32
ADMINISTRACION,5,82.8
ADMINISTRACION,5,83.62
ADMINISTRACION,5,84.3
ADMINISTRACION,5,84.86
ADMINISTRACION,5,85.41
ADMINISTRACION,5,85.59
ADMINISTRACION,5,85.61
ADMINISTRACION,5,85.83
ADMINISTRACION,5,86.04
ADMINISTRACION,5,86.24
ADMINISTRACION,5,86.59
ADMINISTRACION,5,86.89
ADMINISTRACION,5,86.96
ADMINISTRACION,5,87.09
ADMINISTRACION,5,87.38
ADMINISTRACION,5,87.92
ADMINISTRACION,5,88.18
ADMINISTRACION,5,88.3
ADMINISTRACION,5,88.39
ADMINISTRACION,5,88.42
ADMINISTRACION,5,88.45
ADMINISTRACION,5,88.61
ADMINISTRACION,5,89.04
ADMINISTRACION,5,89.28
ADMINISTRACION,5,89.29
ADMINISTRACION,5,89.67
ADMINISTRACION,5,89.83
ADMINISTRACION,5,89.83
ADMINISTRACION,5,90
ADMINISTRACION,5,90.17
ADMINISTRACION,5,90.25
ADMINISTRACION,5,90.4
ADMINISTRACION,5,90.7
ADMINISTRACION,5,90.74
ADMINISTRACION,5,90.8
ADMINISTRACION,5,90.82
ADMINISTRACION,5,91.05
ADMINISTRACION,5,91.29
ADMINISTRACION,5,91.29
ADMINISTRACION,5,91.63
ADMINISTRACION,5,92.22
ADMINISTRACION,5,92.67
ADMINISTRACION,5,94.69
ADMINISTRACION,5,94.71
ADMINISTRACION,6,74.9
ADMINISTRACION,6,78.63
ADMINISTRACION,6,79.24
ADMINISTRACION,6,79.71
ADMINISTRACION,6,81.61
ADMINISTRACION,6,81.74
ADMINISTRACION,6,81.97
ADMINISTRACION,6,83.53
ADMINISTRACION,6,83.83
ADMINISTRACION,6,83.87
ADMINISTRACION,6,84.17
ADMINISTRACION,6,84.3
ADMINISTRACION,6,84.32
ADMINISTRACION,6,84.6
ADMINISTRACION,6,84.7
ADMINISTRACION,6,85.1
ADMINISTRACION,6,85.42
ADMINISTRACION,6,85.86
ADMINISTRACION,6,86.38
ADMINISTRACION,6,86.66
ADMINISTRACION,6,86.75
ADMINISTRACION,6,87.19
ADMINISTRACION,6,87.47
ADMINISTRACION,6,87.83
ADMINISTRACION,6,88
ADMINISTRACION,6,88.79
ADMINISTRACION,6,89.07
ADMINISTRACION,6,89.5
ADMINISTRACION,6,90.17
ADMINISTRACION,6,90.83
ADMINISTRACION,6,91.57
ADMINISTRACION,6,92.06
ADMINISTRACION,7,79.23
ADMINISTRACION,7,79.57
ADMINISTRACION,7,80
ADMINISTRACION,7,80.74
ADMINISTRACION,7,80.75
ADMINISTRACION,7,81.42
ADMINISTRACION,7,81.71
ADMINISTRACION,7,82.88
ADMINISTRACION,7,83.23
ADMINISTRACION,7,83.74
ADMINISTRACION,7,83.79
ADMINISTRACION,7,83.87
ADMINISTRACION,7,84.17
ADMINISTRACION,7,84.34
ADMINISTRACION,7,84.71
ADMINISTRACION,7,84.79
ADMINISTRACION,7,84.94
ADMINISTRACION,7,85.21
ADMINISTRACION,7,85.36
ADMINISTRACION,7,85.73
ADMINISTRACION,7,86.08
ADMINISTRACION,7,86.53
ADMINISTRACION,7,86.68
ADMINISTRACION,7,86.69
ADMINISTRACION,7,86.69
ADMINISTRACION,7,86.86
ADMINISTRACION,7,86.97
ADMINISTRACION,7,87
ADMINISTRACION,7,87.08
ADMINISTRACION,7,87.42
ADMINISTRACION,7,87.61
ADMINISTRACION,7,87.77
ADMINISTRACION,7,88.42
ADMINISTRACION,7,88.6
ADMINISTRACION,7,88.75
ADMINISTRACION,7,88.89
ADMINISTRACION,7,89
ADMINISTRACION,7,89.19
ADMINISTRACION,7,89.32
ADMINISTRACION,7,89.39
ADMINISTRACION,7,89.5
ADMINISTRACION,7,89.54
ADMINISTRACION,7,89.54
ADMINISTRACION,7,89.69
ADMINISTRACION,7,89.72
ADMINISTRACION,7,90
ADMINISTRACION,7,90.06
ADMINISTRACION,7,90.17
ADMINISTRACION,7,90.64
ADMINISTRACION,7,90.64
ADMINISTRACION,7,90.68
ADMINISTRACION,7,90.75
ADMINISTRACION,7,91.51
ADMINISTRACION,7,91.65
ADMINISTRACION,7,92.58
ADMINISTRACION,7,93.35
ADMINISTRACION,7,94.84
ADMINISTRACION,7,95.03
ADMINISTRACION,7,95.18
ADMINISTRACION,7,95.25
ADMINISTRACION,7,95.26
ADMINISTRACION,7,95.87
ADMINISTRACION,8,80.56
ADMINISTRACION,8,81.8
ADMINISTRACION,8,81.85
ADMINISTRACION,8,82.03
ADMINISTRACION,8,83.59
ADMINISTRACION,8,83.72
ADMINISTRACION,8,83.79
ADMINISTRACION,8,84.41
ADMINISTRACION,8,84.56
ADMINISTRACION,8,85.21
ADMINISTRACION,8,85.43
ADMINISTRACION,8,85.76
ADMINISTRACION,8,86.3
ADMINISTRACION,8,88.18
ADMINISTRACION,8,89.1
ADMINISTRACION,8,90.95
ADMINISTRACION,8,94.2
ADMINISTRACION,9,78.81
ADMINISTRACION,9,80.67
ADMINISTRACION,9,80.81
ADMINISTRACION,9,81.13
ADMINISTRACION,9,81.41
ADMINISTRACION,9,82.14
ADMINISTRACION,9,82.23
ADMINISTRACION,9,82.58
ADMINISTRACION,9,82.97
ADMINISTRACION,9,83.23
ADMINISTRACION,9,84.05
ADMINISTRACION,9,84.06
ADMINISTRACION,9,84.28
ADMINISTRACION,9,84.7
ADMINISTRACION,9,84.88
ADMINISTRACION,9,85
ADMINISTRACION,9,85.33
ADMINISTRACION,9,85.49
ADMINISTRACION,9,85.67
ADMINISTRACION,9,85.84
ADMINISTRACION,9,85.91
ADMINISTRACION,9,85.91
ADMINISTRACION,9,86.14
ADMINISTRACION,9,87.19
ADMINISTRACION,9,87.67
ADMINISTRACION,9,87.78
ADMINISTRACION,9,87.82
ADMINISTRACION,9,87.94
ADMINISTRACION,9,88.02
ADMINISTRACION,9,88.35
ADMINISTRACION,9,88.9
ADMINISTRACION,9,88.94
ADMINISTRACION,9,88.96
ADMINISTRACION,9,89.06
ADMINISTRACION,9,89.56
ADMINISTRACION,9,89.94
ADMINISTRACION,9,90.04
ADMINISTRACION,9,90.23
ADMINISTRACION,9,90.3
ADMINISTRACION,9,90.35
